Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,Mossbauer
Mossbauer Dwell Time:,0.1 mSeconds
Elapsed Passes:,460368 
High Voltage:,1800
Conversion Gain:,2048
Coarse Gain:,32
Fine Gain:,1.78
ULD:,  40%
LLD:,  22%

Channel Data:
Chan,Dwell(mSec.),Counts
0,      0.10,3902
1,      0.20,3982
2,      0.30,4091
3,      0.40,3981
4,      0.50,3940
5,      0.60,3962
6,      0.70,4037
7,      0.80,3965
8,      0.90,4048
9,      1.00,3944
10,      1.10,3977
11,      1.20,3993
12,      1.30,4058
13,      1.40,3879
14,      1.50,4109
15,      1.60,4120
16,      1.70,4010
17,      1.80,4044
18,      1.90,4008
19,      2.00,3942
20,      2.10,4100
21,      2.20,3915
22,      2.30,4016
23,      2.40,4181
24,      2.50,4042
25,      2.60,4051
26,      2.70,3952
27,      2.80,3948
28,      2.90,3906
29,      3.00,3955
30,      3.10,3951
31,      3.20,4045
32,      3.30,3936
33,      3.40,3960
34,      3.50,3984
35,      3.60,3985
36,      3.70,3924
37,      3.80,3867
38,      3.90,3990
39,      4.00,4137
40,      4.10,3962
41,      4.20,3983
42,      4.30,4044
43,      4.40,3970
44,      4.50,4017
45,      4.60,3989
46,      4.70,3981
47,      4.80,3999
48,      4.90,4057
49,      5.00,3986
50,      5.10,4010
51,      5.20,3948
52,      5.30,3808
53,      5.40,3581
54,      5.50,3103
55,      5.60,3534
56,      5.70,3906
57,      5.80,3934
58,      5.90,3856
59,      6.00,3993
60,      6.10,3972
61,      6.20,4053
62,      6.30,4022
63,      6.40,4049
64,      6.50,3981
65,      6.60,4141
66,      6.70,3884
67,      6.80,4151
68,      6.90,3995
69,      7.00,3887
70,      7.10,3987
71,      7.20,4007
72,      7.30,4051
73,      7.40,3932
74,      7.50,4019
75,      7.60,3920
76,      7.70,4085
77,      7.80,3872
78,      7.90,4105
79,      8.00,4025
80,      8.10,4069
81,      8.20,4034
82,      8.30,4006
83,      8.40,4046
84,      8.50,4015
