Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,Mossbauer
Mossbauer Dwell Time:,0.1 mSeconds
Elapsed Passes:,386086 
High Voltage:,1800
Conversion Gain:,2048
Coarse Gain:,4
Fine Gain:,1.78
ULD:,  40%
LLD:,  22%

Channel Data:
Chan,Dwell(mSec.),Counts
0,      0.10,4668
1,      0.20,4604
2,      0.30,4601
3,      0.40,4667
4,      0.50,4609
5,      0.60,4608
6,      0.70,4548
7,      0.80,4592
8,      0.90,4592
9,      1.00,4638
10,      1.10,4656
11,      1.20,4575
12,      1.30,4544
13,      1.40,4519
14,      1.50,4475
15,      1.60,4758
16,      1.70,4566
17,      1.80,4538
18,      1.90,4557
19,      2.00,4555
20,      2.10,4592
21,      2.20,4620
22,      2.30,4660
23,      2.40,4540
24,      2.50,4516
25,      2.60,4743
26,      2.70,4487
27,      2.80,4674
28,      2.90,4383
29,      3.00,4505
30,      3.10,4644
31,      3.20,4614
32,      3.30,4504
33,      3.40,4635
34,      3.50,4646
35,      3.60,4784
36,      3.70,4569
37,      3.80,4650
38,      3.90,4688
39,      4.00,4551
40,      4.10,4754
41,      4.20,4726
42,      4.30,4631
43,      4.40,4725
44,      4.50,4648
45,      4.60,4536
46,      4.70,4638
47,      4.80,4599
48,      4.90,4554
49,      5.00,4559
50,      5.10,4722
51,      5.20,4573
52,      5.30,4430
53,      5.40,4224
54,      5.50,3877
55,      5.60,4181
56,      5.70,4477
57,      5.80,4624
58,      5.90,4615
59,      6.00,4674
60,      6.10,4738
61,      6.20,4645
62,      6.30,4584
63,      6.40,4804
64,      6.50,4589
65,      6.60,4631
66,      6.70,4681
67,      6.80,4617
68,      6.90,4810
69,      7.00,4666
70,      7.10,4687
71,      7.20,4718
72,      7.30,4601
73,      7.40,4798
74,      7.50,4772
75,      7.60,4743
76,      7.70,4676
77,      7.80,4618
78,      7.90,4784
79,      8.00,4717
80,      8.10,4754
81,      8.20,4642
82,      8.30,4638
83,      8.40,4752
84,      8.50,4739
85,      8.60,4648
86,      8.70,4619
87,      8.80,4558
88,      8.90,4715
89,      9.00,4637
90,      9.10,4655
91,      9.20,4770
92,      9.30,4750
93,      9.40,4710
94,      9.50,4719
95,      9.60,4741
96,      9.70,4650
97,      9.80,4684
98,      9.90,4705
99,     10.00,4594
100,     10.10,4685
101,     10.20,4757
102,     10.30,4666
103,     10.40,4624
104,     10.50,4794
105,     10.60,4726
106,     10.70,4815
107,     10.80,4645
108,     10.90,4742
109,     11.00,4656
110,     11.10,4580
111,     11.20,4788
112,     11.30,4639
113,     11.40,4667
114,     11.50,4652
115,     11.60,4673
116,     11.70,4669
117,     11.80,4645
118,     11.90,4747
119,     12.00,4634
120,     12.10,4596
121,     12.20,4628
122,     12.30,4621
123,     12.40,4692
124,     12.50,4562
125,     12.60,4585
126,     12.70,4651
127,     12.80,4715
128,     12.90,4551
129,     13.00,4711
130,     13.10,4629
131,     13.20,4664
132,     13.30,4487
133,     13.40,4609
134,     13.50,4556
135,     13.60,4610
136,     13.70,4618
137,     13.80,4489
138,     13.90,4650
139,     14.00,4676
140,     14.10,4604
141,     14.20,4641
142,     14.30,4605
143,     14.40,4656
144,     14.50,4613
145,     14.60,4610
146,     14.70,4615
147,     14.80,4549
148,     14.90,4531
149,     15.00,4477
150,     15.10,4517
151,     15.20,4436
152,     15.30,4583
153,     15.40,4587
154,     15.50,4660
155,     15.60,4478
156,     15.70,4575
157,     15.80,4766
158,     15.90,4456
159,     16.00,4540
160,     16.10,4418
161,     16.20,4409
162,     16.30,4605
163,     16.40,4540
164,     16.50,4582
165,     16.60,4484
166,     16.70,4636
167,     16.80,4617
168,     16.90,4586
169,     17.00,4529
170,     17.10,4472
171,     17.20,4625
172,     17.30,4514
173,     17.40,4421
174,     17.50,4618
175,     17.60,4394
176,     17.70,4478
177,     17.80,4530
178,     17.90,4577
179,     18.00,4617
180,     18.10,4645
181,     18.20,4451
182,     18.30,4550
183,     18.40,4577
184,     18.50,4527
185,     18.60,4640
186,     18.70,4413
187,     18.80,4594
188,     18.90,4526
189,     19.00,4542
190,     19.10,4595
191,     19.20,4557
192,     19.30,4373
193,     19.40,4502
194,     19.50,4541
195,     19.60,4476
196,     19.70,4427
197,     19.80,4491
198,     19.90,4466
199,     20.00,4445
200,     20.10,4598
201,     20.20,4453
202,     20.30,4545
203,     20.40,4504
204,     20.50,4500
205,     20.60,4438
206,     20.70,4548
207,     20.80,4435
208,     20.90,4532
209,     21.00,4460
210,     21.10,4464
211,     21.20,4394
212,     21.30,4515
213,     21.40,4517
214,     21.50,4501
215,     21.60,4438
216,     21.70,4787
217,     21.80,4666
218,     21.90,4451
219,     22.00,4450
220,     22.10,4520
221,     22.20,4444
222,     22.30,4559
223,     22.40,4544
224,     22.50,4380
225,     22.60,4623
226,     22.70,4610
227,     22.80,4559
228,     22.90,4499
229,     23.00,4530
230,     23.10,4458
231,     23.20,4454
232,     23.30,4612
233,     23.40,4572
234,     23.50,4448
235,     23.60,4544
236,     23.70,4506
237,     23.80,4660
238,     23.90,4566
239,     24.00,4553
240,     24.10,4450
241,     24.20,4530
242,     24.30,4448
243,     24.40,4606
244,     24.50,4467
245,     24.60,4442
246,     24.70,4558
247,     24.80,4451
248,     24.90,4570
249,     25.00,4547
250,     25.10,4518
251,     25.20,4550
252,     25.30,4526
253,     25.40,4615
254,     25.50,4439
255,     25.60,4515
256,     25.70,4571
257,     25.80,4494
258,     25.90,4588
259,     26.00,4549
260,     26.10,4532
261,     26.20,4510
262,     26.30,4510
263,     26.40,4449
264,     26.50,4496
265,     26.60,4485
266,     26.70,4582
267,     26.80,4573
268,     26.90,4503
269,     27.00,4498
270,     27.10,4586
271,     27.20,4575
272,     27.30,4628
273,     27.40,4589
274,     27.50,4526
275,     27.60,4536
276,     27.70,4448
277,     27.80,4553
278,     27.90,4555
279,     28.00,4499
280,     28.10,4645
281,     28.20,4654
282,     28.30,4443
283,     28.40,4534
284,     28.50,4584
285,     28.60,4586
286,     28.70,4492
287,     28.80,4490
288,     28.90,4612
289,     29.00,4491
290,     29.10,4498
291,     29.20,4578
292,     29.30,4622
293,     29.40,4537
294,     29.50,4533
295,     29.60,4547
296,     29.70,4568
297,     29.80,4563
298,     29.90,4428
299,     30.00,4500
300,     30.10,4568
301,     30.20,4573
302,     30.30,4618
303,     30.40,4600
304,     30.50,4573
305,     30.60,4490
306,     30.70,4582
307,     30.80,4579
308,     30.90,4485
309,     31.00,4510
310,     31.10,4628
311,     31.20,4550
312,     31.30,4611
313,     31.40,4511
314,     31.50,4599
315,     31.60,4485
316,     31.70,4462
317,     31.80,4522
318,     31.90,4487
319,     32.00,4581
320,     32.10,4603
321,     32.20,4558
322,     32.30,4540
323,     32.40,4586
324,     32.50,4600
325,     32.60,4699
326,     32.70,4488
327,     32.80,4505
328,     32.90,4497
329,     33.00,4524
330,     33.10,4600
331,     33.20,4672
332,     33.30,4542
333,     33.40,4486
334,     33.50,4606
335,     33.60,4590
336,     33.70,4456
337,     33.80,4603
338,     33.90,4452
339,     34.00,4486
340,     34.10,4498
341,     34.20,4513
342,     34.30,4508
343,     34.40,4551
344,     34.50,4483
345,     34.60,4499
346,     34.70,4655
347,     34.80,4506
348,     34.90,4487
349,     35.00,4415
350,     35.10,4456
351,     35.20,4555
352,     35.30,4463
353,     35.40,4466
354,     35.50,4604
355,     35.60,4589
356,     35.70,4532
357,     35.80,4401
358,     35.90,4408
359,     36.00,4569
360,     36.10,4517
361,     36.20,4451
362,     36.30,4466
363,     36.40,4492
364,     36.50,4475
365,     36.60,4627
366,     36.70,4553
367,     36.80,4533
368,     36.90,4489
369,     37.00,4588
370,     37.10,4545
371,     37.20,4446
372,     37.30,4418
373,     37.40,4502
374,     37.50,4504
375,     37.60,4455
376,     37.70,4458
377,     37.80,4436
378,     37.90,4344
379,     38.00,4583
380,     38.10,4445
381,     38.20,4507
382,     38.30,4622
383,     38.40,4593
384,     38.50,4458
385,     38.60,4461
386,     38.70,4496
387,     38.80,4416
388,     38.90,4422
389,     39.00,4444
390,     39.10,4489
391,     39.20,4535
392,     39.30,4498
393,     39.40,4462
394,     39.50,4438
395,     39.60,4443
396,     39.70,4473
397,     39.80,4410
398,     39.90,4401
399,     40.00,4572
400,     40.10,4374
401,     40.20,4502
402,     40.30,4510
403,     40.40,4381
404,     40.50,4517
405,     40.60,4493
406,     40.70,4428
407,     40.80,4389
408,     40.90,4451
409,     41.00,4541
410,     41.10,4521
411,     41.20,4616
412,     41.30,4435
413,     41.40,4441
414,     41.50,4488
415,     41.60,4561
416,     41.70,4423
417,     41.80,4383
418,     41.90,4352
419,     42.00,4492
420,     42.10,4478
421,     42.20,4425
422,     42.30,4527
423,     42.40,4487
424,     42.50,4488
425,     42.60,4542
426,     42.70,4591
427,     42.80,4535
428,     42.90,4525
429,     43.00,4485
430,     43.10,4514
431,     43.20,4396
432,     43.30,4459
433,     43.40,4418
434,     43.50,4491
435,     43.60,4444
436,     43.70,4401
437,     43.80,4445
438,     43.90,4422
439,     44.00,4580
440,     44.10,4411
441,     44.20,4451
442,     44.30,4543
443,     44.40,4475
444,     44.50,4537
445,     44.60,4470
446,     44.70,4578
447,     44.80,4519
448,     44.90,4551
449,     45.00,4396
450,     45.10,4635
451,     45.20,4540
452,     45.30,4468
453,     45.40,4469
454,     45.50,4452
455,     45.60,4517
456,     45.70,4534
457,     45.80,4525
458,     45.90,4495
459,     46.00,4472
460,     46.10,4566
461,     46.20,4490
462,     46.30,4530
463,     46.40,4457
464,     46.50,4529
465,     46.60,4641
466,     46.70,4453
467,     46.80,4476
468,     46.90,4516
469,     47.00,4603
470,     47.10,4541
471,     47.20,4483
472,     47.30,4500
473,     47.40,4463
474,     47.50,4493
475,     47.60,4590
476,     47.70,4453
477,     47.80,4590
478,     47.90,4486
479,     48.00,4620
480,     48.10,4348
481,     48.20,4506
482,     48.30,4559
483,     48.40,4554
484,     48.50,4601
485,     48.60,4477
486,     48.70,4518
487,     48.80,4481
488,     48.90,4496
489,     49.00,4624
490,     49.10,4554
491,     49.20,4567
492,     49.30,4559
493,     49.40,4508
494,     49.50,4427
495,     49.60,4479
496,     49.70,4555
497,     49.80,4537
498,     49.90,4545
499,     50.00,4461
500,     50.10,4557
501,     50.20,4461
502,     50.30,4471
503,     50.40,4567
504,     50.50,4457
505,     50.60,4507
506,     50.70,4487
507,     50.80,4522
508,     50.90,4436
509,     51.00,4424
510,     51.10,4568
511,     51.20,4551
512,     51.30,4431
513,     51.40,4524
514,     51.50,4415
515,     51.60,4569
516,     51.70,4510
517,     51.80,4472
518,     51.90,4394
519,     52.00,4421
520,     52.10,4508
521,     52.20,4496
522,     52.30,4536
523,     52.40,4502
524,     52.50,4500
525,     52.60,4563
526,     52.70,4540
527,     52.80,4601
528,     52.90,4418
529,     53.00,4556
530,     53.10,4427
531,     53.20,4417
532,     53.30,4476
533,     53.40,4497
534,     53.50,4492
535,     53.60,4598
536,     53.70,4474
537,     53.80,4434
538,     53.90,4528
539,     54.00,4565
540,     54.10,4577
541,     54.20,4433
542,     54.30,4537
543,     54.40,4537
544,     54.50,4470
545,     54.60,4604
546,     54.70,4427
547,     54.80,4477
548,     54.90,4486
549,     55.00,4377
550,     55.10,4650
551,     55.20,4574
552,     55.30,4550
553,     55.40,4413
554,     55.50,4510
555,     55.60,4429
556,     55.70,4439
557,     55.80,4482
558,     55.90,4530
559,     56.00,4517
560,     56.10,4440
561,     56.20,4573
562,     56.30,4540
563,     56.40,4577
564,     56.50,4496
565,     56.60,4407
566,     56.70,4464
567,     56.80,4507
568,     56.90,4469
569,     57.00,4431
570,     57.10,4366
571,     57.20,4368
572,     57.30,4514
573,     57.40,4499
574,     57.50,4561
575,     57.60,4536
576,     57.70,4413
577,     57.80,4428
578,     57.90,4352
579,     58.00,4428
580,     58.10,4428
581,     58.20,4463
582,     58.30,4520
583,     58.40,4505
584,     58.50,4362
585,     58.60,4557
586,     58.70,4557
587,     58.80,4493
588,     58.90,4397
589,     59.00,4582
590,     59.10,4560
591,     59.20,4484
592,     59.30,4433
593,     59.40,4495
594,     59.50,4318
595,     59.60,4473
596,     59.70,4412
597,     59.80,4455
598,     59.90,4534
599,     60.00,4448
600,     60.10,4553
601,     60.20,4378
602,     60.30,4476
603,     60.40,4495
604,     60.50,4418
605,     60.60,4444
606,     60.70,4417
607,     60.80,4572
608,     60.90,4393
609,     61.00,4533
610,     61.10,4481
611,     61.20,4437
612,     61.30,4511
613,     61.40,4489
614,     61.50,4478
615,     61.60,4536
616,     61.70,4487
617,     61.80,4388
618,     61.90,4527
619,     62.00,4577
620,     62.10,4573
621,     62.20,4428
622,     62.30,4403
623,     62.40,4642
624,     62.50,4388
625,     62.60,4471
626,     62.70,4531
627,     62.80,4385
628,     62.90,4550
629,     63.00,4452
630,     63.10,4496
631,     63.20,4491
632,     63.30,4374
633,     63.40,4511
634,     63.50,4537
635,     63.60,4545
636,     63.70,4363
637,     63.80,4442
638,     63.90,4524
639,     64.00,4596
640,     64.10,4522
641,     64.20,4617
642,     64.30,4479
643,     64.40,4488
644,     64.50,4518
645,     64.60,4505
646,     64.70,4640
647,     64.80,4609
648,     64.90,4540
649,     65.00,4472
650,     65.10,4443
651,     65.20,4482
652,     65.30,4594
653,     65.40,4575
654,     65.50,4528
655,     65.60,4525
656,     65.70,4489
657,     65.80,4444
658,     65.90,4527
659,     66.00,4407
660,     66.10,4530
661,     66.20,4552
662,     66.30,4505
663,     66.40,4507
664,     66.50,4500
665,     66.60,4544
666,     66.70,4438
667,     66.80,4584
668,     66.90,4521
669,     67.00,4547
670,     67.10,4520
671,     67.20,4507
672,     67.30,4442
