Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,Mossbauer
Mossbauer Dwell Time:,0.1 mSeconds
Elapsed Passes:,372842 
High Voltage:,1800
Conversion Gain:,2048
Coarse Gain:,4
Fine Gain:,1.78
ULD:,  40%
LLD:,  22%

Channel Data:
Chan,Dwell(mSec.),Counts
0,      0.10,5075
1,      0.20,5221
2,      0.30,5097
3,      0.40,5026
4,      0.50,4984
5,      0.60,5001
6,      0.70,5024
7,      0.80,5114
8,      0.90,5084
9,      1.00,5115
10,      1.10,5009
11,      1.20,5292
12,      1.30,5133
13,      1.40,5057
14,      1.50,4965
15,      1.60,5135
16,      1.70,5065
17,      1.80,5037
18,      1.90,4920
19,      2.00,5085
20,      2.10,5015
21,      2.20,5063
22,      2.30,5177
23,      2.40,5019
24,      2.50,5015
25,      2.60,5132
26,      2.70,5069
27,      2.80,5093
28,      2.90,5160
29,      3.00,5046
30,      3.10,5048
31,      3.20,5151
32,      3.30,5045
33,      3.40,4815
34,      3.50,5137
35,      3.60,5054
36,      3.70,5141
37,      3.80,5047
38,      3.90,4888
39,      4.00,5258
40,      4.10,5040
41,      4.20,5106
42,      4.30,5020
43,      4.40,5126
44,      4.50,5116
45,      4.60,5089
46,      4.70,5101
47,      4.80,5091
48,      4.90,5034
49,      5.00,5198
50,      5.10,5246
51,      5.20,5091
52,      5.30,4950
53,      5.40,4920
54,      5.50,4572
55,      5.60,4992
56,      5.70,5132
57,      5.80,5046
58,      5.90,5178
59,      6.00,5161
60,      6.10,4953
61,      6.20,5161
62,      6.30,5181
63,      6.40,4965
64,      6.50,5171
65,      6.60,5025
66,      6.70,5160
67,      6.80,5112
68,      6.90,5186
69,      7.00,5180
70,      7.10,5118
71,      7.20,5212
72,      7.30,5172
73,      7.40,5141
74,      7.50,5293
75,      7.60,5161
76,      7.70,5114
77,      7.80,5154
78,      7.90,5129
79,      8.00,5151
80,      8.10,5191
81,      8.20,5279
82,      8.30,5257
83,      8.40,5157
84,      8.50,5122
85,      8.60,5120
86,      8.70,5153
87,      8.80,5070
88,      8.90,5066
89,      9.00,5214
90,      9.10,5205
91,      9.20,5136
92,      9.30,5093
93,      9.40,5291
94,      9.50,5012
95,      9.60,5156
96,      9.70,5336
97,      9.80,5215
98,      9.90,5281
99,     10.00,5094
100,     10.10,5049
101,     10.20,5113
102,     10.30,5165
103,     10.40,5171
104,     10.50,5103
105,     10.60,5340
106,     10.70,5192
107,     10.80,5255
108,     10.90,5174
109,     11.00,5134
110,     11.10,5057
111,     11.20,5079
112,     11.30,5147
113,     11.40,5253
114,     11.50,5188
115,     11.60,5222
116,     11.70,5012
117,     11.80,5142
118,     11.90,5046
119,     12.00,5081
120,     12.10,5249
121,     12.20,5024
122,     12.30,5172
123,     12.40,5157
124,     12.50,5061
125,     12.60,5245
126,     12.70,5100
127,     12.80,5036
128,     12.90,5117
129,     13.00,5103
130,     13.10,5173
131,     13.20,5007
132,     13.30,5082
133,     13.40,5000
134,     13.50,5069
135,     13.60,5117
136,     13.70,5039
137,     13.80,5183
138,     13.90,5252
139,     14.00,5152
140,     14.10,5083
141,     14.20,5043
142,     14.30,5042
143,     14.40,4954
144,     14.50,5134
145,     14.60,5151
146,     14.70,5032
147,     14.80,5067
148,     14.90,5155
149,     15.00,4960
150,     15.10,5139
151,     15.20,5288
152,     15.30,5096
153,     15.40,5179
154,     15.50,5076
155,     15.60,5056
156,     15.70,5000
157,     15.80,5146
158,     15.90,4942
159,     16.00,5202
160,     16.10,5115
161,     16.20,5070
162,     16.30,5045
163,     16.40,5013
164,     16.50,4960
165,     16.60,5003
166,     16.70,4973
167,     16.80,5049
168,     16.90,5064
169,     17.00,4996
170,     17.10,5008
171,     17.20,5062
172,     17.30,5117
173,     17.40,5007
174,     17.50,5248
175,     17.60,5074
176,     17.70,4887
177,     17.80,4800
178,     17.90,5003
179,     18.00,4996
180,     18.10,5032
181,     18.20,5031
182,     18.30,4951
183,     18.40,4950
184,     18.50,4967
185,     18.60,5077
186,     18.70,5009
187,     18.80,4980
188,     18.90,5006
189,     19.00,4950
190,     19.10,5034
191,     19.20,4932
192,     19.30,4943
193,     19.40,5076
194,     19.50,5156
195,     19.60,5116
196,     19.70,5024
197,     19.80,4891
198,     19.90,4872
199,     20.00,4900
200,     20.10,4965
201,     20.20,4928
202,     20.30,5005
203,     20.40,5077
204,     20.50,4954
205,     20.60,4988
206,     20.70,4939
207,     20.80,4988
208,     20.90,4928
209,     21.00,4988
210,     21.10,5053
211,     21.20,4951
212,     21.30,4949
213,     21.40,4944
214,     21.50,5023
215,     21.60,5018
216,     21.70,4864
217,     21.80,5063
218,     21.90,4999
219,     22.00,4930
220,     22.10,5005
221,     22.20,4892
222,     22.30,4984
223,     22.40,4932
224,     22.50,5009
225,     22.60,5095
226,     22.70,5011
227,     22.80,4962
228,     22.90,5063
229,     23.00,4987
230,     23.10,5052
231,     23.20,5057
232,     23.30,5035
233,     23.40,5042
234,     23.50,5032
235,     23.60,5016
236,     23.70,5007
237,     23.80,5165
238,     23.90,4977
239,     24.00,5070
240,     24.10,4942
241,     24.20,4888
242,     24.30,5030
243,     24.40,4973
244,     24.50,4970
245,     24.60,5071
246,     24.70,5052
247,     24.80,5097
248,     24.90,5034
249,     25.00,4953
250,     25.10,5045
251,     25.20,5000
252,     25.30,5144
253,     25.40,5123
254,     25.50,4949
255,     25.60,5019
256,     25.70,4892
257,     25.80,5008
258,     25.90,5010
259,     26.00,4961
260,     26.10,5054
261,     26.20,4923
262,     26.30,5022
263,     26.40,4998
264,     26.50,5102
265,     26.60,4984
266,     26.70,5106
267,     26.80,5067
268,     26.90,5010
269,     27.00,5051
270,     27.10,5094
271,     27.20,5062
272,     27.30,5007
273,     27.40,5006
274,     27.50,5008
275,     27.60,5070
276,     27.70,5038
277,     27.80,5109
278,     27.90,5144
279,     28.00,5102
280,     28.10,4995
281,     28.20,4876
282,     28.30,4995
283,     28.40,5009
284,     28.50,5076
285,     28.60,4993
286,     28.70,4912
287,     28.80,5102
288,     28.90,5000
289,     29.00,4984
290,     29.10,5046
291,     29.20,5077
292,     29.30,4974
293,     29.40,5065
294,     29.50,4957
295,     29.60,5157
296,     29.70,4929
297,     29.80,4981
298,     29.90,4987
299,     30.00,5065
300,     30.10,5006
301,     30.20,5054
302,     30.30,5050
303,     30.40,5125
304,     30.50,5029
305,     30.60,5018
306,     30.70,5104
307,     30.80,5033
308,     30.90,4964
309,     31.00,5131
310,     31.10,4879
311,     31.20,4923
312,     31.30,5089
313,     31.40,4917
314,     31.50,5040
315,     31.60,5081
316,     31.70,5070
317,     31.80,5052
318,     31.90,4997
319,     32.00,5048
320,     32.10,4973
321,     32.20,5080
322,     32.30,5004
323,     32.40,5077
324,     32.50,5180
325,     32.60,4962
326,     32.70,5039
327,     32.80,5053
328,     32.90,5056
329,     33.00,5019
330,     33.10,5034
331,     33.20,5028
332,     33.30,5108
333,     33.40,4963
334,     33.50,5012
335,     33.60,4985
336,     33.70,4943
337,     33.80,5158
338,     33.90,4955
339,     34.00,5021
340,     34.10,5016
341,     34.20,4943
342,     34.30,5064
343,     34.40,4956
344,     34.50,5115
345,     34.60,4972
346,     34.70,4933
347,     34.80,4958
348,     34.90,4862
349,     35.00,5066
350,     35.10,4930
351,     35.20,5044
352,     35.30,5098
353,     35.40,4833
354,     35.50,4964
355,     35.60,5018
356,     35.70,5029
357,     35.80,4975
358,     35.90,4992
359,     36.00,5032
360,     36.10,4966
361,     36.20,4865
362,     36.30,4904
363,     36.40,4925
364,     36.50,4863
365,     36.60,5058
366,     36.70,5105
367,     36.80,5055
368,     36.90,5023
369,     37.00,4861
370,     37.10,5062
371,     37.20,4973
372,     37.30,5058
373,     37.40,4986
374,     37.50,4974
375,     37.60,4883
376,     37.70,4899
377,     37.80,4827
378,     37.90,5015
379,     38.00,5044
380,     38.10,4925
381,     38.20,4921
382,     38.30,4949
383,     38.40,5055
384,     38.50,4926
385,     38.60,4964
386,     38.70,5039
387,     38.80,4921
388,     38.90,4974
389,     39.00,4934
390,     39.10,4892
391,     39.20,4814
392,     39.30,4902
393,     39.40,4943
394,     39.50,5017
395,     39.60,4936
396,     39.70,4848
397,     39.80,4993
398,     39.90,4944
399,     40.00,4874
400,     40.10,4835
401,     40.20,5016
402,     40.30,4921
403,     40.40,5066
404,     40.50,4869
405,     40.60,4831
406,     40.70,4922
407,     40.80,4921
408,     40.90,4893
409,     41.00,4929
410,     41.10,5024
411,     41.20,4982
412,     41.30,4962
413,     41.40,4927
414,     41.50,5006
415,     41.60,4947
416,     41.70,4959
417,     41.80,4998
418,     41.90,5035
419,     42.00,4966
420,     42.10,4966
421,     42.20,5004
422,     42.30,4878
423,     42.40,4897
424,     42.50,4950
425,     42.60,4840
426,     42.70,4936
427,     42.80,4931
428,     42.90,4910
429,     43.00,4977
430,     43.10,4978
431,     43.20,4990
432,     43.30,5033
433,     43.40,4994
434,     43.50,4896
435,     43.60,4933
436,     43.70,5070
437,     43.80,4926
438,     43.90,4967
439,     44.00,5021
440,     44.10,4901
441,     44.20,5029
442,     44.30,4953
443,     44.40,4983
444,     44.50,5044
445,     44.60,4918
446,     44.70,4979
447,     44.80,5066
448,     44.90,4848
449,     45.00,5116
450,     45.10,5004
451,     45.20,5099
452,     45.30,4950
453,     45.40,4914
454,     45.50,4917
455,     45.60,5010
456,     45.70,4898
457,     45.80,4929
458,     45.90,4995
459,     46.00,4965
460,     46.10,5013
461,     46.20,5037
462,     46.30,5053
463,     46.40,4981
464,     46.50,4960
465,     46.60,4943
466,     46.70,4860
467,     46.80,5127
468,     46.90,5021
469,     47.00,4926
470,     47.10,4981
471,     47.20,4990
472,     47.30,5012
473,     47.40,5016
474,     47.50,5141
475,     47.60,5014
476,     47.70,4840
477,     47.80,5016
478,     47.90,4987
479,     48.00,4954
480,     48.10,4996
481,     48.20,4977
482,     48.30,4922
483,     48.40,4786
484,     48.50,5109
485,     48.60,5068
486,     48.70,4990
487,     48.80,4999
488,     48.90,4904
489,     49.00,4906
490,     49.10,4939
491,     49.20,4945
492,     49.30,5041
493,     49.40,4960
494,     49.50,4959
495,     49.60,4972
496,     49.70,4979
