Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,extMoss
Mossbauer Dwell Time:,0.1 mSeconds
Elapsed Passes:,2323 
High Voltage:,1800
Conversion Gain:,2048
Coarse Gain:,32
Fine Gain:,1.78
ULD:,  40%
LLD:,  22%

Channel Data:
Chan,Dwell(mSec.),Counts
0,      0.10,7556
1,      0.20,7595
2,      0.30,7580
3,      0.40,7621
4,      0.50,7544
5,      0.60,7412
6,      0.70,7444
7,      0.80,7453
8,      0.90,7423
9,      1.00,7287
10,      1.10,7256
11,      1.20,7189
12,      1.30,7109
13,      1.40,7151
14,      1.50,7047
15,      1.60,6960
16,      1.70,6888
17,      1.80,6824
18,      1.90,6730
19,      2.00,6625
20,      2.10,6513
21,      2.20,6412
22,      2.30,6278
23,      2.40,6200
24,      2.50,6096
25,      2.60,5905
26,      2.70,5805
27,      2.80,5724
28,      2.90,5554
29,      3.00,5470
30,      3.10,5327
31,      3.20,5185
32,      3.30,5021
33,      3.40,4863
34,      3.50,4776
35,      3.60,4467
36,      3.70,4346
37,      3.80,4120
38,      3.90,3882
39,      4.00,3761
40,      4.10,3613
41,      4.20,3342
42,      4.30,3144
43,      4.40,2930
44,      4.50,2719
45,      4.60,2519
46,      4.70,2296
47,      4.80,2068
48,      4.90,1862
49,      5.00,1624
50,      5.10,1348
51,      5.20,1155
52,      5.30,850
53,      5.40,712
54,      5.50,446
55,      5.60,265
56,      5.70,106
57,      5.80,152
58,      5.90,384
59,      6.00,737
60,      6.10,1112
61,      6.20,1233
62,      6.30,1430
63,      6.40,1699
64,      6.50,1841
65,      6.60,2095
66,      6.70,2315
67,      6.80,2489
68,      6.90,2666
69,      7.00,2857
70,      7.10,3036
71,      7.20,3198
72,      7.30,3395
73,      7.40,3516
74,      7.50,3725
75,      7.60,3939
76,      7.70,4012
77,      7.80,4232
78,      7.90,4369
79,      8.00,4636
80,      8.10,4722
81,      8.20,4909
82,      8.30,5054
83,      8.40,5197
84,      8.50,5345
85,      8.60,5487
86,      8.70,5678
87,      8.80,5783
88,      8.90,5969
89,      9.00,6106
90,      9.10,6251
91,      9.20,6411
92,      9.30,6537
93,      9.40,6700
94,      9.50,6854
95,      9.60,6993
96,      9.70,7115
97,      9.80,7242
98,      9.90,7315
99,     10.00,7564
100,     10.10,7645
101,     10.20,7727
102,     10.30,7872
103,     10.40,8003
104,     10.50,8123
105,     10.60,8235
106,     10.70,8365
107,     10.80,8523
108,     10.90,8675
109,     11.00,8695
110,     11.10,8886
111,     11.20,8883
112,     11.30,8961
113,     11.40,9045
114,     11.50,9130
115,     11.60,9223
116,     11.70,9231
117,     11.80,9152
118,     11.90,9336
119,     12.00,9295
120,     12.10,9367
121,     12.20,9333
122,     12.30,9433
123,     12.40,9455
124,     12.50,9544
125,     12.60,9449
126,     12.70,9501
127,     12.80,9531
128,     12.90,9414
129,     13.00,9443
130,     13.10,9473
131,     13.20,9433
132,     13.30,9411
133,     13.40,9345
134,     13.50,9378
135,     13.60,9270
136,     13.70,9322
137,     13.80,9282
138,     13.90,9214
139,     14.00,9251
140,     14.10,9227
141,     14.20,9118
142,     14.30,9084
143,     14.40,9005
144,     14.50,8969
145,     14.60,8952
146,     14.70,8936
147,     14.80,8883
148,     14.90,8727
149,     15.00,8614
150,     15.10,8634
151,     15.20,8602
152,     15.30,8585
153,     15.40,8499
154,     15.50,8472
155,     15.60,8351
156,     15.70,8341
157,     15.80,8284
158,     15.90,8231
159,     16.00,8173
160,     16.10,8066
161,     16.20,7992
162,     16.30,7984
163,     16.40,7915
164,     16.50,7920
165,     16.60,7764
166,     16.70,7779
167,     16.80,7717
168,     16.90,7671
169,     17.00,7667
170,     17.10,7652
171,     17.20,7513
172,     17.30,7505
173,     17.40,7457
174,     17.50,7419
175,     17.60,7369
176,     17.70,7326
177,     17.80,7318
178,     17.90,7354
179,     18.00,7346
180,     18.10,7276
181,     18.20,7179
182,     18.30,7220
183,     18.40,7198
184,     18.50,7218
185,     18.60,7155
186,     18.70,7160
187,     18.80,7118
188,     18.90,7222
189,     19.00,7156
190,     19.10,7081
191,     19.20,7190
192,     19.30,7079
193,     19.40,7121
194,     19.50,7108
195,     19.60,7112
196,     19.70,7042
197,     19.80,7038
198,     19.90,7127
199,     20.00,6926
200,     20.10,7042
201,     20.20,7064
202,     20.30,7068
203,     20.40,7010
204,     20.50,7006
205,     20.60,7037
206,     20.70,7003
207,     20.80,6928
208,     20.90,7033
209,     21.00,6971
210,     21.10,6958
211,     21.20,7028
212,     21.30,6997
213,     21.40,6937
214,     21.50,6971
215,     21.60,6929
216,     21.70,6906
217,     21.80,6920
218,     21.90,6899
219,     22.00,6830
220,     22.10,6904
221,     22.20,6938
222,     22.30,6932
223,     22.40,6892
224,     22.50,6910
225,     22.60,6846
226,     22.70,6877
227,     22.80,6848
228,     22.90,6819
229,     23.00,6938
230,     23.10,6848
231,     23.20,6841
232,     23.30,6936
233,     23.40,6875
234,     23.50,6882
235,     23.60,6904
236,     23.70,6903
237,     23.80,6958
238,     23.90,6943
239,     24.00,6835
240,     24.10,6917
241,     24.20,6927
242,     24.30,6872
243,     24.40,7015
244,     24.50,6919
245,     24.60,6946
246,     24.70,6972
247,     24.80,6984
248,     24.90,6992
249,     25.00,7000
250,     25.10,6986
251,     25.20,6956
252,     25.30,7054
253,     25.40,7001
254,     25.50,7028
255,     25.60,7052
256,     25.70,6949
257,     25.80,6991
258,     25.90,7039
259,     26.00,7070
