# header lines commented out 3/9 JL
#Spectrum Name:,
#Description:,
#Student ID:,
#Detector Used:,
#Comments:,
#Acquisition Mode:,extMoss
#Mossbauer Dwell Time:,0.1 mSeconds
#Elapsed Passes:,1000 
#High Voltage:,1800
#Conversion Gain:,2048
#Coarse Gain:,32
#Fine Gain:,1.78
#ULD:,  40%
#LLD:,  22%
#
#Channel Data:
#Chan,Dwell(mSec.),Counts
0,      0.10,3845
1,      0.20,3869
2,      0.30,3871
3,      0.40,3840
4,      0.50,3779
5,      0.60,3617
6,      0.70,3568
7,      0.80,3522
8,      0.90,3367
9,      1.00,3317
10,      1.10,3245
11,      1.20,3250
12,      1.30,3097
13,      1.40,3045
14,      1.50,2964
15,      1.60,2887
16,      1.70,2746
17,      1.80,2716
18,      1.90,2646
19,      2.00,2529
20,      2.10,2496
21,      2.20,2419
22,      2.30,2314
23,      2.40,2183
24,      2.50,2154
25,      2.60,1951
26,      2.70,1904
27,      2.80,1631
28,      2.90,1472
29,      3.00,1249
30,      3.10,1045
31,      3.20,781
32,      3.30,538
33,      3.40,398
34,      3.50,276
35,      3.60,173
36,      3.70,131
37,      3.80,107
38,      3.90,80
39,      4.00,93
40,      4.10,82
41,      4.20,90
42,      4.30,106
43,      4.40,148
44,      4.50,291
45,      4.60,394
46,      4.70,575
47,      4.80,580
48,      4.90,531
49,      5.00,435
50,      5.10,355
51,      5.20,250
52,      5.30,195
53,      5.40,103
54,      5.50,101
55,      5.60,172
56,      5.70,253
57,      5.80,365
58,      5.90,279
59,      6.00,58
60,      6.10,46
61,      6.20,34
62,      6.30,18
63,      6.40,22
64,      6.50,19
65,      6.60,19
66,      6.70,15
67,      6.80,19
68,      6.90,15
69,      7.00,8
70,      7.10,10
71,      7.20,12
72,      7.30,13
73,      7.40,11
74,      7.50,10
75,      7.60,16
76,      7.70,14
77,      7.80,17
78,      7.90,18
79,      8.00,11
80,      8.10,13
81,      8.20,13
82,      8.30,17
83,      8.40,21
84,      8.50,13
85,      8.60,12
86,      8.70,3
87,      8.80,4
88,      8.90,1
89,      9.00,2
90,      9.10,1
91,      9.20,4
92,      9.30,2
93,      9.40,1
94,      9.50,2
95,      9.60,1
96,      9.70,3
97,      9.80,1
98,      9.90,0
99,     10.00,1
100,     10.10,2
101,     10.20,1
102,     10.30,1
103,     10.40,1
104,     10.50,0
105,     10.60,0
106,     10.70,0
107,     10.80,0
108,     10.90,0
109,     11.00,0
110,     11.10,0
111,     11.20,2
112,     11.30,9
113,     11.40,12
114,     11.50,17
115,     11.60,9
116,     11.70,3
117,     11.80,1
118,     11.90,0
119,     12.00,0
120,     12.10,1
121,     12.20,0
122,     12.30,0
123,     12.40,0
124,     12.50,8
125,     12.60,9
126,     12.70,1
127,     12.80,1
128,     12.90,9
129,     13.00,17
130,     13.10,25
131,     13.20,42
132,     13.30,52
133,     13.40,72
134,     13.50,92
135,     13.60,191
136,     13.70,368
137,     13.80,756
138,     13.90,1399
139,     14.00,2142
140,     14.10,2826
141,     14.20,3391
142,     14.30,3628
143,     14.40,3884
144,     14.50,3851
145,     14.60,3974
146,     14.70,3903
147,     14.80,3909
148,     14.90,3971
149,     15.00,3931
150,     15.10,3889
151,     15.20,3868
152,     15.30,3921
153,     15.40,3914
154,     15.50,3955
155,     15.60,3921
156,     15.70,3945
157,     15.80,3979
158,     15.90,3957
159,     16.00,3895
160,     16.10,3858
161,     16.20,3856
162,     16.30,3820
163,     16.40,3834
164,     16.50,3817
165,     16.60,3739
166,     16.70,3688
167,     16.80,3735
