# header lines commented out 3/9 JL
#Spectrum Name:,
#Description:,
#Student ID:,
#Detector Used:,
#Comments:,
#Acquisition Mode:,extMoss
#Mossbauer Dwell Time:,0.1 mSeconds
#Elapsed Passes:,1117 
#High Voltage:,1800
#Conversion Gain:,2048
#Coarse Gain:,32
#Fine Gain:,1.78
#ULD:,  40%
#LLD:,  22%
#
#Channel Data:
#Chan,Dwell(mSec.),Counts
0,      0.10,4352
1,      0.20,4343
2,      0.30,4365
3,      0.40,4372
4,      0.50,4211
5,      0.60,4129
6,      0.70,4047
7,      0.80,3936
8,      0.90,3893
9,      1.00,3766
10,      1.10,3664
11,      1.20,3626
12,      1.30,3484
13,      1.40,3416
14,      1.50,3348
15,      1.60,3240
16,      1.70,3163
17,      1.80,3124
18,      1.90,3030
19,      2.00,2887
20,      2.10,2821
21,      2.20,2732
22,      2.30,2656
23,      2.40,2552
24,      2.50,2498
25,      2.60,2380
26,      2.70,2317
27,      2.80,2205
28,      2.90,2140
29,      3.00,1992
30,      3.10,1890
31,      3.20,1810
32,      3.30,1699
33,      3.40,1479
34,      3.50,1401
35,      3.60,1241
36,      3.70,1113
37,      3.80,1032
38,      3.90,934
39,      4.00,882
40,      4.10,852
41,      4.20,821
42,      4.30,750
43,      4.40,802
44,      4.50,716
45,      4.60,773
46,      4.70,600
47,      4.80,587
48,      4.90,503
49,      5.00,392
50,      5.10,298
51,      5.20,235
52,      5.30,168
53,      5.40,90
54,      5.50,95
55,      5.60,157
56,      5.70,223
57,      5.80,343
58,      5.90,522
59,      6.00,549
60,      6.10,279
61,      6.20,94
62,      6.30,57
63,      6.40,64
64,      6.50,48
65,      6.60,38
66,      6.70,31
67,      6.80,22
68,      6.90,27
69,      7.00,23
70,      7.10,24
71,      7.20,26
72,      7.30,22
73,      7.40,20
74,      7.50,19
75,      7.60,19
76,      7.70,15
77,      7.80,19
78,      7.90,17
79,      8.00,17
80,      8.10,16
81,      8.20,15
82,      8.30,19
83,      8.40,18
84,      8.50,17
85,      8.60,13
86,      8.70,16
87,      8.80,16
88,      8.90,14
89,      9.00,13
90,      9.10,15
91,      9.20,15
92,      9.30,17
93,      9.40,13
94,      9.50,18
95,      9.60,18
96,      9.70,14
97,      9.80,25
98,      9.90,20
99,     10.00,22
100,     10.10,29
101,     10.20,31
102,     10.30,27
103,     10.40,22
104,     10.50,22
105,     10.60,22
106,     10.70,20
107,     10.80,17
108,     10.90,20
109,     11.00,16
110,     11.10,13
111,     11.20,13
112,     11.30,14
113,     11.40,8
114,     11.50,16
115,     11.60,17
116,     11.70,13
117,     11.80,18
118,     11.90,25
119,     12.00,19
120,     12.10,23
121,     12.20,29
122,     12.30,32
123,     12.40,31
124,     12.50,46
125,     12.60,56
126,     12.70,62
127,     12.80,82
128,     12.90,103
129,     13.00,127
130,     13.10,161
131,     13.20,200
132,     13.30,277
133,     13.40,427
134,     13.50,760
135,     13.60,1332
136,     13.70,1986
137,     13.80,2658
138,     13.90,3252
139,     14.00,3746
140,     14.10,4122
141,     14.20,4350
142,     14.30,4560
143,     14.40,4630
144,     14.50,4587
145,     14.60,4623
146,     14.70,4644
147,     14.80,4558
148,     14.90,4578
149,     15.00,4521
150,     15.10,4493
151,     15.20,4543
152,     15.30,4514
153,     15.40,4562
154,     15.50,4512
155,     15.60,4557
156,     15.70,4547
157,     15.80,4493
158,     15.90,4538
159,     16.00,4469
160,     16.10,4457
161,     16.20,4535
162,     16.30,4471
163,     16.40,4546
164,     16.50,4420
165,     16.60,4400
166,     16.70,4419
167,     16.80,4398
168,     16.90,4396
169,     17.00,4397
170,     17.10,4438
171,     17.20,4473
172,     17.30,4418
173,     17.40,4436
174,     17.50,4388
175,     17.60,4406
176,     17.70,4399
177,     17.80,4403
178,     17.90,4470
179,     18.00,4412
180,     18.10,4411
181,     18.20,4408
182,     18.30,4400
183,     18.40,4443
184,     18.50,4419
185,     18.60,4443
186,     18.70,4383
187,     18.80,4367
188,     18.90,4410
189,     19.00,4414
190,     19.10,4334
191,     19.20,4322
192,     19.30,4334
193,     19.40,4346
194,     19.50,4377
195,     19.60,4395
196,     19.70,4340
197,     19.80,4294
198,     19.90,4390
199,     20.00,4346
200,     20.10,4298
201,     20.20,4327
