Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,Mossbauer
Mossbauer Dwell Time:,0.1 mSeconds
Elapsed Passes:,13557 
High Voltage:,1800
Conversion Gain:,2048
Coarse Gain:,4
Fine Gain:,1.78
ULD:,  40%
LLD:,  22%

Channel Data:
Chan,Dwell(mSec.),Counts
0,      0.10,252
1,      0.20,267
2,      0.30,268
3,      0.40,279
4,      0.50,265
5,      0.60,260
6,      0.70,262
7,      0.80,285
8,      0.90,259
9,      1.00,252
10,      1.10,264
11,      1.20,239
12,      1.30,273
13,      1.40,267
14,      1.50,217
15,      1.60,257
16,      1.70,262
17,      1.80,276
18,      1.90,217
19,      2.00,265
20,      2.10,241
21,      2.20,243
22,      2.30,242
23,      2.40,227
24,      2.50,231
25,      2.60,250
26,      2.70,253
27,      2.80,283
28,      2.90,270
29,      3.00,271
30,      3.10,260
31,      3.20,276
32,      3.30,245
33,      3.40,251
34,      3.50,280
35,      3.60,235
36,      3.70,220
37,      3.80,212
38,      3.90,249
39,      4.00,283
40,      4.10,268
41,      4.20,263
42,      4.30,304
43,      4.40,265
44,      4.50,260
45,      4.60,256
46,      4.70,247
47,      4.80,262
48,      4.90,252
49,      5.00,243
50,      5.10,274
51,      5.20,252
52,      5.30,282
53,      5.40,254
54,      5.50,262
55,      5.60,289
56,      5.70,286
57,      5.80,264
58,      5.90,245
59,      6.00,261
60,      6.10,261
61,      6.20,281
62,      6.30,279
63,      6.40,273
64,      6.50,287
65,      6.60,256
66,      6.70,270
67,      6.80,271
68,      6.90,257
69,      7.00,243
70,      7.10,276
71,      7.20,225
72,      7.30,241
73,      7.40,248
74,      7.50,248
75,      7.60,268
76,      7.70,265
77,      7.80,274
78,      7.90,245
79,      8.00,277
80,      8.10,295
81,      8.20,272
82,      8.30,260
83,      8.40,251
84,      8.50,219
85,      8.60,237
86,      8.70,270
87,      8.80,274
88,      8.90,268
89,      9.00,248
90,      9.10,291
91,      9.20,260
92,      9.30,257
93,      9.40,267
94,      9.50,282
95,      9.60,268
96,      9.70,250
97,      9.80,281
98,      9.90,255
99,     10.00,254
100,     10.10,279
101,     10.20,252
102,     10.30,274
103,     10.40,263
104,     10.50,268
105,     10.60,264
106,     10.70,283
107,     10.80,267
108,     10.90,266
109,     11.00,277
110,     11.10,301
111,     11.20,266
112,     11.30,312
113,     11.40,269
114,     11.50,290
115,     11.60,264
116,     11.70,244
117,     11.80,285
118,     11.90,282
119,     12.00,255
120,     12.10,249
121,     12.20,253
122,     12.30,274
123,     12.40,272
124,     12.50,276
125,     12.60,300
126,     12.70,291
127,     12.80,258
128,     12.90,273
129,     13.00,266
130,     13.10,262
131,     13.20,260
132,     13.30,284
133,     13.40,278
134,     13.50,246
135,     13.60,286
136,     13.70,268
137,     13.80,274
138,     13.90,271
139,     14.00,270
140,     14.10,254
141,     14.20,258
142,     14.30,263
143,     14.40,246
144,     14.50,284
145,     14.60,271
146,     14.70,260
147,     14.80,253
148,     14.90,280
149,     15.00,249
150,     15.10,263
151,     15.20,299
152,     15.30,285
153,     15.40,286
154,     15.50,251
155,     15.60,250
156,     15.70,262
157,     15.80,256
158,     15.90,281
159,     16.00,280
160,     16.10,275
161,     16.20,250
162,     16.30,264
163,     16.40,264
164,     16.50,260
165,     16.60,250
166,     16.70,270
167,     16.80,255
168,     16.90,306
169,     17.00,270
170,     17.10,223
171,     17.20,284
172,     17.30,270
173,     17.40,244
174,     17.50,248
175,     17.60,282
176,     17.70,287
177,     17.80,260
178,     17.90,247
179,     18.00,261
180,     18.10,245
181,     18.20,271
182,     18.30,253
183,     18.40,264
184,     18.50,282
185,     18.60,254
186,     18.70,274
187,     18.80,259
188,     18.90,261
189,     19.00,270
190,     19.10,246
191,     19.20,275
192,     19.30,255
193,     19.40,268
194,     19.50,290
195,     19.60,279
196,     19.70,250
197,     19.80,266
198,     19.90,265
199,     20.00,308
200,     20.10,273
201,     20.20,285
202,     20.30,253
203,     20.40,235
204,     20.50,248
205,     20.60,234
206,     20.70,271
207,     20.80,212
208,     20.90,286
209,     21.00,240
210,     21.10,251
211,     21.20,260
212,     21.30,254
213,     21.40,234
214,     21.50,242
215,     21.60,261
216,     21.70,264
217,     21.80,266
218,     21.90,260
219,     22.00,227
220,     22.10,262
221,     22.20,242
222,     22.30,237
223,     22.40,248
224,     22.50,234
225,     22.60,269
226,     22.70,246
227,     22.80,246
228,     22.90,240
229,     23.00,256
230,     23.10,242
231,     23.20,279
232,     23.30,267
233,     23.40,255
234,     23.50,264
235,     23.60,247
236,     23.70,268
237,     23.80,245
238,     23.90,241
239,     24.00,241
240,     24.10,267
241,     24.20,257
242,     24.30,254
243,     24.40,288
244,     24.50,251
245,     24.60,250
246,     24.70,243
247,     24.80,282
248,     24.90,250
249,     25.00,243
250,     25.10,273
251,     25.20,259
252,     25.30,249
253,     25.40,260
254,     25.50,260
255,     25.60,272
256,     25.70,261
257,     25.80,269
258,     25.90,245
259,     26.00,285
260,     26.10,264
261,     26.20,259
262,     26.30,243
263,     26.40,254
264,     26.50,276
265,     26.60,252
266,     26.70,273
267,     26.80,262
268,     26.90,268
269,     27.00,261
270,     27.10,274
271,     27.20,271
272,     27.30,264
273,     27.40,278
274,     27.50,265
275,     27.60,258
276,     27.70,259
277,     27.80,256
278,     27.90,249
279,     28.00,264
280,     28.10,254
281,     28.20,249
282,     28.30,290
283,     28.40,251
284,     28.50,228
285,     28.60,254
286,     28.70,232
287,     28.80,279
288,     28.90,271
289,     29.00,251
290,     29.10,259
291,     29.20,242
292,     29.30,245
293,     29.40,265
294,     29.50,258
295,     29.60,242
296,     29.70,271
297,     29.80,244
298,     29.90,251
299,     30.00,250
300,     30.10,267
301,     30.20,256
302,     30.30,262
303,     30.40,251
304,     30.50,231
305,     30.60,274
306,     30.70,269
307,     30.80,280
308,     30.90,256
309,     31.00,240
310,     31.10,263
311,     31.20,259
312,     31.30,261
313,     31.40,229
314,     31.50,270
315,     31.60,253
316,     31.70,286
317,     31.80,270
318,     31.90,225
319,     32.00,262
320,     32.10,268
321,     32.20,244
322,     32.30,285
323,     32.40,268
324,     32.50,266
325,     32.60,255
326,     32.70,230
327,     32.80,269
328,     32.90,225
329,     33.00,264
330,     33.10,251
331,     33.20,281
332,     33.30,266
333,     33.40,229
334,     33.50,256
335,     33.60,268
336,     33.70,268
337,     33.80,265
338,     33.90,244
339,     34.00,265
340,     34.10,237
341,     34.20,267
342,     34.30,283
343,     34.40,265
344,     34.50,273
345,     34.60,267
346,     34.70,232
347,     34.80,253
348,     34.90,288
349,     35.00,256
350,     35.10,291
351,     35.20,266
352,     35.30,271
353,     35.40,278
354,     35.50,266
355,     35.60,248
356,     35.70,263
357,     35.80,247
358,     35.90,272
359,     36.00,265
360,     36.10,264
361,     36.20,253
362,     36.30,277
363,     36.40,273
364,     36.50,245
365,     36.60,265
366,     36.70,277
367,     36.80,254
368,     36.90,264
369,     37.00,269
370,     37.10,259
371,     37.20,243
372,     37.30,280
373,     37.40,236
374,     37.50,248
375,     37.60,281
376,     37.70,270
