Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,Mossbauer
Mossbauer Dwell Time:,0.1 mSeconds
Elapsed Passes:,44226 
High Voltage:,1800
Conversion Gain:,2048
Coarse Gain:,4
Fine Gain:,1.78
ULD:,  40%
LLD:,  22%

Channel Data:
Chan,Dwell(mSec.),Counts
0,      0.10,242
1,      0.20,281
2,      0.30,258
3,      0.40,265
4,      0.50,272
5,      0.60,270
6,      0.70,260
7,      0.80,232
8,      0.90,257
9,      1.00,275
10,      1.10,261
11,      1.20,264
12,      1.30,274
13,      1.40,262
14,      1.50,280
15,      1.60,291
16,      1.70,261
17,      1.80,288
18,      1.90,299
19,      2.00,314
20,      2.10,255
21,      2.20,290
22,      2.30,246
23,      2.40,263
24,      2.50,276
25,      2.60,300
26,      2.70,294
27,      2.80,291
28,      2.90,256
29,      3.00,294
30,      3.10,269
31,      3.20,266
32,      3.30,247
33,      3.40,257
34,      3.50,294
35,      3.60,247
36,      3.70,268
37,      3.80,269
38,      3.90,259
39,      4.00,265
40,      4.10,254
41,      4.20,268
42,      4.30,278
43,      4.40,255
44,      4.50,270
45,      4.60,281
46,      4.70,263
47,      4.80,253
48,      4.90,253
49,      5.00,265
50,      5.10,276
51,      5.20,269
52,      5.30,248
53,      5.40,269
54,      5.50,242
55,      5.60,255
56,      5.70,254
57,      5.80,249
58,      5.90,255
59,      6.00,240
60,      6.10,281
61,      6.20,247
62,      6.30,255
63,      6.40,262
64,      6.50,252
65,      6.60,282
66,      6.70,308
67,      6.80,269
68,      6.90,279
69,      7.00,283
70,      7.10,276
71,      7.20,280
72,      7.30,268
73,      7.40,285
74,      7.50,274
75,      7.60,288
76,      7.70,276
77,      7.80,272
78,      7.90,284
79,      8.00,275
80,      8.10,264
81,      8.20,238
82,      8.30,272
83,      8.40,285
84,      8.50,279
85,      8.60,282
86,      8.70,287
87,      8.80,283
88,      8.90,260
89,      9.00,261
90,      9.10,252
91,      9.20,296
92,      9.30,264
93,      9.40,270
94,      9.50,287
95,      9.60,266
96,      9.70,245
97,      9.80,276
98,      9.90,279
99,     10.00,279
100,     10.10,246
101,     10.20,279
102,     10.30,293
103,     10.40,257
104,     10.50,264
105,     10.60,303
106,     10.70,277
107,     10.80,283
108,     10.90,303
109,     11.00,238
110,     11.10,267
111,     11.20,280
112,     11.30,249
113,     11.40,269
114,     11.50,290
115,     11.60,249
116,     11.70,283
117,     11.80,261
118,     11.90,275
119,     12.00,255
120,     12.10,278
121,     12.20,240
122,     12.30,276
123,     12.40,283
124,     12.50,261
125,     12.60,253
126,     12.70,265
127,     12.80,270
128,     12.90,274
129,     13.00,300
130,     13.10,274
131,     13.20,241
132,     13.30,283
133,     13.40,245
134,     13.50,258
135,     13.60,283
136,     13.70,251
137,     13.80,304
138,     13.90,254
139,     14.00,259
140,     14.10,286
141,     14.20,287
142,     14.30,258
143,     14.40,253
144,     14.50,277
145,     14.60,283
146,     14.70,288
147,     14.80,253
148,     14.90,265
149,     15.00,251
150,     15.10,284
151,     15.20,274
152,     15.30,291
153,     15.40,270
154,     15.50,253
155,     15.60,239
156,     15.70,254
157,     15.80,280
158,     15.90,255
159,     16.00,272
160,     16.10,283
161,     16.20,265
162,     16.30,297
163,     16.40,243
164,     16.50,247
165,     16.60,273
166,     16.70,273
167,     16.80,294
168,     16.90,244
169,     17.00,276
170,     17.10,280
171,     17.20,279
172,     17.30,270
173,     17.40,306
174,     17.50,272
175,     17.60,275
176,     17.70,260
177,     17.80,253
178,     17.90,281
179,     18.00,275
180,     18.10,254
181,     18.20,233
182,     18.30,247
183,     18.40,254
184,     18.50,271
185,     18.60,278
186,     18.70,268
187,     18.80,267
188,     18.90,248
189,     19.00,264
190,     19.10,244
191,     19.20,248
192,     19.30,240
193,     19.40,236
194,     19.50,259
195,     19.60,270
196,     19.70,252
197,     19.80,273
198,     19.90,295
199,     20.00,270
200,     20.10,256
201,     20.20,252
202,     20.30,233
203,     20.40,263
204,     20.50,237
205,     20.60,258
206,     20.70,248
207,     20.80,268
208,     20.90,271
209,     21.00,266
210,     21.10,266
211,     21.20,255
212,     21.30,266
213,     21.40,268
214,     21.50,243
215,     21.60,262
216,     21.70,261
217,     21.80,309
218,     21.90,257
219,     22.00,262
220,     22.10,253
221,     22.20,228
222,     22.30,280
223,     22.40,251
224,     22.50,248
225,     22.60,268
226,     22.70,275
227,     22.80,280
228,     22.90,259
229,     23.00,268
230,     23.10,241
231,     23.20,289
232,     23.30,277
233,     23.40,278
234,     23.50,250
235,     23.60,256
236,     23.70,279
237,     23.80,263
238,     23.90,256
239,     24.00,259
240,     24.10,266
241,     24.20,245
242,     24.30,257
243,     24.40,266
244,     24.50,261
245,     24.60,254
246,     24.70,280
247,     24.80,267
248,     24.90,239
249,     25.00,255
250,     25.10,284
251,     25.20,269
252,     25.30,265
253,     25.40,249
254,     25.50,250
255,     25.60,274
256,     25.70,266
257,     25.80,287
258,     25.90,247
259,     26.00,267
260,     26.10,277
261,     26.20,271
262,     26.30,272
263,     26.40,263
264,     26.50,262
265,     26.60,258
266,     26.70,258
267,     26.80,263
268,     26.90,278
269,     27.00,254
270,     27.10,234
271,     27.20,257
272,     27.30,270
273,     27.40,295
274,     27.50,268
275,     27.60,271
276,     27.70,272
277,     27.80,290
278,     27.90,267
279,     28.00,283
280,     28.10,246
281,     28.20,240
282,     28.30,289
283,     28.40,273
284,     28.50,270
285,     28.60,259
286,     28.70,260
287,     28.80,275
288,     28.90,267
289,     29.00,267
290,     29.10,263
291,     29.20,256
292,     29.30,280
293,     29.40,272
294,     29.50,278
295,     29.60,255
296,     29.70,270
297,     29.80,274
298,     29.90,257
299,     30.00,268
300,     30.10,275
301,     30.20,255
302,     30.30,264
303,     30.40,261
304,     30.50,267
305,     30.60,264
306,     30.70,251
307,     30.80,264
308,     30.90,302
309,     31.00,294
310,     31.10,240
311,     31.20,313
312,     31.30,275
313,     31.40,278
314,     31.50,278
315,     31.60,264
316,     31.70,253
317,     31.80,243
318,     31.90,253
319,     32.00,281
320,     32.10,278
321,     32.20,279
322,     32.30,235
323,     32.40,294
324,     32.50,248
325,     32.60,248
326,     32.70,264
327,     32.80,249
328,     32.90,287
329,     33.00,284
330,     33.10,268
331,     33.20,257
332,     33.30,275
333,     33.40,275
334,     33.50,268
335,     33.60,260
336,     33.70,287
337,     33.80,276
338,     33.90,271
339,     34.00,301
340,     34.10,251
341,     34.20,262
342,     34.30,262
343,     34.40,255
344,     34.50,266
345,     34.60,255
346,     34.70,284
347,     34.80,259
348,     34.90,279
349,     35.00,277
350,     35.10,241
351,     35.20,257
352,     35.30,286
353,     35.40,273
354,     35.50,264
355,     35.60,275
356,     35.70,254
357,     35.80,241
358,     35.90,240
359,     36.00,302
360,     36.10,256
361,     36.20,269
362,     36.30,259
363,     36.40,261
364,     36.50,286
365,     36.60,296
366,     36.70,260
367,     36.80,244
368,     36.90,274
369,     37.00,256
370,     37.10,254
371,     37.20,304
372,     37.30,281
373,     37.40,243
374,     37.50,260
375,     37.60,271
376,     37.70,271
377,     37.80,288
378,     37.90,285
379,     38.00,233
380,     38.10,273
381,     38.20,261
382,     38.30,263
383,     38.40,258
384,     38.50,258
385,     38.60,248
386,     38.70,272
387,     38.80,273
388,     38.90,255
389,     39.00,246
390,     39.10,291
391,     39.20,256
392,     39.30,256
393,     39.40,261
394,     39.50,255
395,     39.60,238
396,     39.70,249
397,     39.80,257
398,     39.90,229
399,     40.00,288
400,     40.10,242
401,     40.20,253
402,     40.30,245
403,     40.40,221
404,     40.50,270
405,     40.60,250
406,     40.70,268
407,     40.80,234
408,     40.90,250
409,     41.00,255
410,     41.10,261
411,     41.20,259
412,     41.30,259
413,     41.40,244
414,     41.50,301
415,     41.60,256
416,     41.70,296
417,     41.80,262
418,     41.90,263
419,     42.00,252
420,     42.10,268
421,     42.20,263
422,     42.30,236
423,     42.40,254
424,     42.50,260
425,     42.60,246
426,     42.70,272
427,     42.80,260
428,     42.90,244
429,     43.00,285
430,     43.10,259
431,     43.20,240
432,     43.30,258
433,     43.40,270
434,     43.50,292
435,     43.60,278
436,     43.70,267
437,     43.80,228
438,     43.90,268
439,     44.00,251
440,     44.10,277
441,     44.20,263
442,     44.30,278
443,     44.40,269
444,     44.50,275
445,     44.60,266
446,     44.70,302
447,     44.80,268
448,     44.90,249
449,     45.00,276
450,     45.10,242
451,     45.20,288
452,     45.30,279
453,     45.40,278
454,     45.50,294
455,     45.60,237
456,     45.70,265
457,     45.80,250
458,     45.90,242
459,     46.00,273
460,     46.10,281
461,     46.20,270
462,     46.30,292
463,     46.40,258
464,     46.50,303
465,     46.60,265
466,     46.70,251
467,     46.80,277
468,     46.90,229
469,     47.00,289
470,     47.10,286
471,     47.20,262
472,     47.30,271
473,     47.40,266
474,     47.50,275
475,     47.60,274
476,     47.70,299
477,     47.80,295
478,     47.90,264
479,     48.00,287
480,     48.10,233
481,     48.20,257
482,     48.30,279
483,     48.40,264
484,     48.50,293
485,     48.60,272
486,     48.70,265
487,     48.80,268
488,     48.90,268
489,     49.00,279
490,     49.10,258
491,     49.20,264
492,     49.30,229
493,     49.40,263
494,     49.50,279
495,     49.60,261
496,     49.70,265
497,     49.80,268
498,     49.90,275
499,     50.00,257
500,     50.10,258
501,     50.20,277
502,     50.30,255
503,     50.40,254
504,     50.50,275
505,     50.60,274
506,     50.70,271
507,     50.80,255
508,     50.90,266
509,     51.00,283
510,     51.10,283
511,     51.20,202
512,     51.30,253
513,     51.40,289
514,     51.50,290
515,     51.60,301
516,     51.70,262
517,     51.80,308
518,     51.90,282
519,     52.00,257
520,     52.10,255
521,     52.20,276
522,     52.30,220
523,     52.40,261
524,     52.50,289
525,     52.60,271
526,     52.70,268
527,     52.80,284
528,     52.90,258
529,     53.00,276
530,     53.10,277
531,     53.20,231
532,     53.30,277
533,     53.40,271
534,     53.50,277
535,     53.60,266
536,     53.70,268
537,     53.80,280
538,     53.90,242
539,     54.00,247
540,     54.10,272
541,     54.20,259
542,     54.30,292
543,     54.40,268
544,     54.50,266
545,     54.60,240
546,     54.70,233
547,     54.80,268
548,     54.90,267
549,     55.00,247
550,     55.10,245
551,     55.20,287
552,     55.30,257
553,     55.40,272
554,     55.50,271
555,     55.60,274
556,     55.70,253
557,     55.80,265
558,     55.90,248
559,     56.00,248
560,     56.10,262
561,     56.20,296
562,     56.30,272
563,     56.40,282
564,     56.50,265
565,     56.60,254
566,     56.70,284
567,     56.80,261
568,     56.90,255
569,     57.00,254
570,     57.10,281
571,     57.20,270
572,     57.30,245
573,     57.40,293
574,     57.50,281
575,     57.60,249
576,     57.70,314
577,     57.80,291
578,     57.90,288
579,     58.00,247
580,     58.10,264
581,     58.20,258
582,     58.30,259
583,     58.40,260
584,     58.50,283
585,     58.60,278
586,     58.70,269
587,     58.80,240
588,     58.90,263
589,     59.00,275
590,     59.10,277
591,     59.20,282
592,     59.30,262
593,     59.40,301
594,     59.50,285
595,     59.60,254
596,     59.70,238
597,     59.80,256
598,     59.90,257
599,     60.00,258
600,     60.10,286
601,     60.20,275
602,     60.30,271
603,     60.40,268
604,     60.50,287
605,     60.60,248
606,     60.70,280
607,     60.80,274
608,     60.90,269
609,     61.00,241
610,     61.10,249
611,     61.20,270
612,     61.30,271
613,     61.40,239
614,     61.50,239
615,     61.60,258
616,     61.70,251
617,     61.80,298
618,     61.90,280
619,     62.00,244
620,     62.10,263
621,     62.20,247
622,     62.30,259
623,     62.40,266
624,     62.50,264
625,     62.60,264
626,     62.70,259
627,     62.80,242
628,     62.90,263
629,     63.00,247
630,     63.10,283
631,     63.20,269
632,     63.30,275
633,     63.40,264
634,     63.50,287
635,     63.60,257
636,     63.70,257
637,     63.80,263
638,     63.90,264
639,     64.00,257
640,     64.10,254
641,     64.20,264
642,     64.30,243
643,     64.40,260
644,     64.50,269
645,     64.60,249
646,     64.70,278
647,     64.80,273
648,     64.90,246
649,     65.00,247
650,     65.10,271
651,     65.20,265
652,     65.30,278
653,     65.40,302
654,     65.50,263
655,     65.60,251
656,     65.70,272
657,     65.80,273
658,     65.90,269
659,     66.00,248
660,     66.10,258
661,     66.20,269
662,     66.30,261
663,     66.40,272
664,     66.50,278
665,     66.60,291
666,     66.70,259
667,     66.80,254
668,     66.90,278
669,     67.00,241
670,     67.10,259
671,     67.20,273
672,     67.30,239
673,     67.40,266
674,     67.50,270
675,     67.60,249
676,     67.70,280
677,     67.80,254
678,     67.90,255
679,     68.00,254
680,     68.10,286
681,     68.20,262
682,     68.30,263
683,     68.40,260
684,     68.50,283
685,     68.60,240
686,     68.70,285
687,     68.80,252
688,     68.90,267
689,     69.00,289
690,     69.10,283
691,     69.20,252
692,     69.30,247
693,     69.40,274
694,     69.50,275
695,     69.60,244
696,     69.70,267
697,     69.80,263
698,     69.90,270
699,     70.00,278
700,     70.10,234
701,     70.20,283
702,     70.30,247
703,     70.40,288
704,     70.50,246
705,     70.60,268
706,     70.70,261
707,     70.80,239
708,     70.90,270
709,     71.00,275
710,     71.10,262
711,     71.20,266
712,     71.30,282
713,     71.40,255
714,     71.50,286
715,     71.60,252
716,     71.70,266
717,     71.80,258
718,     71.90,249
719,     72.00,259
720,     72.10,260
721,     72.20,253
722,     72.30,219
723,     72.40,274
724,     72.50,276
725,     72.60,269
726,     72.70,253
727,     72.80,264
728,     72.90,261
729,     73.00,286
730,     73.10,236
731,     73.20,267
732,     73.30,277
733,     73.40,270
734,     73.50,275
735,     73.60,287
736,     73.70,252
737,     73.80,247
738,     73.90,240
739,     74.00,278
740,     74.10,274
741,     74.20,250
742,     74.30,303
743,     74.40,251
744,     74.50,300
745,     74.60,268
746,     74.70,279
747,     74.80,242
748,     74.90,268
749,     75.00,257
750,     75.10,297
751,     75.20,266
752,     75.30,249
753,     75.40,275
754,     75.50,250
755,     75.60,291
756,     75.70,265
757,     75.80,254
758,     75.90,284
759,     76.00,259
760,     76.10,248
761,     76.20,268
762,     76.30,232
763,     76.40,245
764,     76.50,281
765,     76.60,286
766,     76.70,248
767,     76.80,261
768,     76.90,274
769,     77.00,259
770,     77.10,270
771,     77.20,277
772,     77.30,274
773,     77.40,291
774,     77.50,291
775,     77.60,277
776,     77.70,278
777,     77.80,254
778,     77.90,251
779,     78.00,284
780,     78.10,298
781,     78.20,269
782,     78.30,278
783,     78.40,260
784,     78.50,259
785,     78.60,274
786,     78.70,231
787,     78.80,278
788,     78.90,267
789,     79.00,236
790,     79.10,271
