Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,Mossbauer
Mossbauer Dwell Time:,0.1 mSeconds
Elapsed Passes:,2000 
High Voltage:,1800
Conversion Gain:,2048
Coarse Gain:,32
Fine Gain:,1.78
ULD:,  40%
LLD:,  22%

Channel Data:
Chan,Dwell(mSec.),Counts
0,      0.10,30
1,      0.20,34
2,      0.30,40
3,      0.40,27
4,      0.50,37
5,      0.60,33
6,      0.70,38
7,      0.80,35
8,      0.90,24
9,      1.00,35
10,      1.10,40
11,      1.20,29
12,      1.30,35
13,      1.40,33
14,      1.50,51
15,      1.60,32
16,      1.70,47
17,      1.80,39
18,      1.90,32
19,      2.00,29
20,      2.10,42
21,      2.20,33
22,      2.30,32
23,      2.40,24
24,      2.50,18
25,      2.60,20
26,      2.70,22
27,      2.80,31
28,      2.90,32
29,      3.00,40
30,      3.10,49
31,      3.20,36
32,      3.30,36
33,      3.40,28
34,      3.50,39
35,      3.60,30
36,      3.70,31
37,      3.80,24
38,      3.90,41
39,      4.00,36
40,      4.10,24
41,      4.20,39
42,      4.30,35
43,      4.40,33
44,      4.50,28
45,      4.60,34
46,      4.70,32
47,      4.80,37
48,      4.90,28
49,      5.00,25
50,      5.10,27
51,      5.20,36
52,      5.30,27
53,      5.40,35
54,      5.50,33
55,      5.60,26
56,      5.70,24
57,      5.80,36
58,      5.90,21
59,      6.00,39
60,      6.10,34
61,      6.20,24
62,      6.30,43
63,      6.40,32
64,      6.50,43
65,      6.60,36
66,      6.70,24
67,      6.80,42
68,      6.90,35
69,      7.00,31
70,      7.10,33
71,      7.20,21
72,      7.30,21
73,      7.40,35
74,      7.50,39
75,      7.60,37
76,      7.70,41
77,      7.80,48
78,      7.90,30
79,      8.00,29
80,      8.10,39
81,      8.20,32
82,      8.30,24
83,      8.40,33
84,      8.50,30
85,      8.60,28
86,      8.70,26
87,      8.80,42
88,      8.90,30
89,      9.00,28
90,      9.10,35
91,      9.20,42
92,      9.30,35
93,      9.40,32
94,      9.50,38
95,      9.60,42
96,      9.70,41
97,      9.80,31
98,      9.90,31
99,     10.00,31
100,     10.10,34
101,     10.20,46
102,     10.30,39
103,     10.40,39
104,     10.50,30
105,     10.60,49
106,     10.70,30
107,     10.80,47
108,     10.90,37
109,     11.00,38
110,     11.10,37
111,     11.20,40
112,     11.30,37
113,     11.40,42
114,     11.50,36
115,     11.60,39
116,     11.70,44
117,     11.80,38
118,     11.90,29
119,     12.00,36
120,     12.10,33
121,     12.20,34
122,     12.30,32
123,     12.40,35
124,     12.50,28
125,     12.60,45
126,     12.70,35
127,     12.80,41
128,     12.90,28
129,     13.00,38
130,     13.10,45
131,     13.20,27
132,     13.30,31
133,     13.40,40
134,     13.50,47
135,     13.60,28
136,     13.70,38
137,     13.80,30
138,     13.90,41
139,     14.00,28
140,     14.10,37
141,     14.20,48
142,     14.30,35
143,     14.40,29
144,     14.50,42
145,     14.60,35
146,     14.70,26
147,     14.80,39
148,     14.90,34
149,     15.00,38
150,     15.10,48
151,     15.20,35
152,     15.30,30
153,     15.40,34
154,     15.50,34
155,     15.60,19
156,     15.70,29
157,     15.80,42
158,     15.90,40
159,     16.00,33
160,     16.10,32
161,     16.20,35
162,     16.30,41
163,     16.40,31
164,     16.50,26
165,     16.60,41
166,     16.70,30
167,     16.80,41
168,     16.90,34
169,     17.00,31
170,     17.10,46
171,     17.20,40
172,     17.30,31
173,     17.40,36
174,     17.50,36
175,     17.60,36
176,     17.70,36
177,     17.80,30
178,     17.90,33
179,     18.00,31
180,     18.10,35
181,     18.20,37
182,     18.30,40
183,     18.40,40
184,     18.50,47
185,     18.60,34
186,     18.70,41
187,     18.80,36
188,     18.90,32
189,     19.00,38
190,     19.10,41
191,     19.20,30
192,     19.30,36
193,     19.40,27
194,     19.50,37
195,     19.60,42
196,     19.70,29
197,     19.80,30
198,     19.90,39
199,     20.00,31
200,     20.10,36
201,     20.20,37
202,     20.30,38
203,     20.40,30
204,     20.50,40
205,     20.60,33
206,     20.70,40
207,     20.80,52
208,     20.90,30
209,     21.00,35
210,     21.10,37
211,     21.20,37
212,     21.30,41
213,     21.40,40
214,     21.50,35
215,     21.60,41
216,     21.70,32
217,     21.80,37
218,     21.90,34
219,     22.00,35
220,     22.10,37
221,     22.20,51
222,     22.30,34
223,     22.40,37
224,     22.50,35
225,     22.60,34
226,     22.70,29
227,     22.80,41
228,     22.90,36
229,     23.00,37
230,     23.10,42
231,     23.20,39
232,     23.30,34
233,     23.40,35
234,     23.50,30
235,     23.60,30
236,     23.70,34
237,     23.80,37
238,     23.90,31
239,     24.00,36
240,     24.10,37
241,     24.20,37
242,     24.30,33
243,     24.40,46
244,     24.50,39
245,     24.60,38
246,     24.70,27
247,     24.80,31
248,     24.90,28
249,     25.00,38
250,     25.10,40
251,     25.20,38
252,     25.30,30
253,     25.40,30
254,     25.50,39
255,     25.60,28
256,     25.70,38
257,     25.80,35
258,     25.90,28
259,     26.00,33
260,     26.10,33
261,     26.20,32
262,     26.30,30
263,     26.40,32
264,     26.50,36
265,     26.60,33
266,     26.70,39
267,     26.80,40
268,     26.90,34
269,     27.00,41
270,     27.10,38
271,     27.20,34
272,     27.30,33
273,     27.40,43
274,     27.50,28
275,     27.60,37
276,     27.70,41
277,     27.80,29
278,     27.90,34
279,     28.00,37
280,     28.10,34
281,     28.20,39
282,     28.30,35
283,     28.40,31
284,     28.50,28
