Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,Mossbauer
Mossbauer Dwell Time:,0.1 mSeconds
Elapsed Passes:,2508 
High Voltage:,1800
Conversion Gain:,2048
Coarse Gain:,32
Fine Gain:,1.78
ULD:,  40%
LLD:,  22%

Channel Data:
Chan,Dwell(mSec.),Counts
0,      0.10,42
1,      0.20,33
2,      0.30,35
3,      0.40,47
4,      0.50,51
5,      0.60,47
6,      0.70,40
7,      0.80,45
8,      0.90,43
9,      1.00,51
10,      1.10,41
11,      1.20,62
12,      1.30,36
13,      1.40,42
14,      1.50,46
15,      1.60,42
16,      1.70,40
17,      1.80,45
18,      1.90,39
19,      2.00,41
20,      2.10,41
21,      2.20,41
22,      2.30,46
23,      2.40,35
24,      2.50,32
25,      2.60,40
26,      2.70,36
27,      2.80,48
28,      2.90,41
29,      3.00,49
30,      3.10,41
31,      3.20,34
32,      3.30,37
33,      3.40,36
34,      3.50,50
35,      3.60,36
36,      3.70,22
37,      3.80,26
38,      3.90,37
39,      4.00,45
40,      4.10,44
41,      4.20,40
42,      4.30,46
43,      4.40,44
44,      4.50,51
45,      4.60,35
46,      4.70,34
47,      4.80,40
48,      4.90,40
49,      5.00,30
50,      5.10,51
51,      5.20,32
52,      5.30,45
53,      5.40,52
54,      5.50,37
55,      5.60,44
56,      5.70,48
57,      5.80,40
58,      5.90,37
59,      6.00,30
60,      6.10,41
61,      6.20,35
62,      6.30,47
63,      6.40,36
64,      6.50,36
65,      6.60,49
66,      6.70,34
67,      6.80,43
68,      6.90,37
69,      7.00,43
70,      7.10,35
71,      7.20,27
72,      7.30,28
73,      7.40,34
74,      7.50,43
75,      7.60,43
76,      7.70,37
77,      7.80,52
78,      7.90,43
79,      8.00,30
80,      8.10,39
81,      8.20,41
82,      8.30,42
83,      8.40,38
84,      8.50,24
85,      8.60,33
86,      8.70,31
87,      8.80,47
88,      8.90,38
89,      9.00,47
90,      9.10,46
91,      9.20,38
92,      9.30,50
93,      9.40,35
94,      9.50,37
95,      9.60,54
96,      9.70,51
97,      9.80,41
98,      9.90,37
99,     10.00,43
100,     10.10,44
101,     10.20,49
102,     10.30,49
103,     10.40,47
104,     10.50,41
105,     10.60,36
106,     10.70,46
107,     10.80,44
108,     10.90,48
109,     11.00,47
110,     11.10,52
111,     11.20,40
112,     11.30,46
113,     11.40,45
114,     11.50,41
115,     11.60,45
116,     11.70,53
117,     11.80,37
118,     11.90,56
119,     12.00,40
120,     12.10,58
121,     12.20,40
122,     12.30,39
123,     12.40,43
124,     12.50,39
125,     12.60,48
126,     12.70,39
127,     12.80,52
128,     12.90,42
129,     13.00,51
130,     13.10,51
131,     13.20,50
132,     13.30,47
133,     13.40,44
134,     13.50,32
135,     13.60,53
136,     13.70,37
137,     13.80,51
138,     13.90,45
139,     14.00,47
140,     14.10,33
141,     14.20,51
142,     14.30,39
143,     14.40,40
144,     14.50,49
145,     14.60,40
146,     14.70,49
147,     14.80,46
148,     14.90,58
149,     15.00,38
150,     15.10,53
151,     15.20,44
152,     15.30,53
153,     15.40,39
154,     15.50,41
155,     15.60,51
156,     15.70,36
157,     15.80,49
158,     15.90,42
159,     16.00,38
160,     16.10,35
161,     16.20,37
162,     16.30,33
163,     16.40,48
164,     16.50,56
165,     16.60,43
166,     16.70,33
167,     16.80,55
168,     16.90,38
169,     17.00,47
170,     17.10,39
171,     17.20,41
172,     17.30,37
173,     17.40,57
174,     17.50,41
175,     17.60,53
176,     17.70,47
177,     17.80,56
178,     17.90,28
179,     18.00,40
180,     18.10,48
181,     18.20,45
182,     18.30,49
183,     18.40,37
184,     18.50,46
185,     18.60,42
186,     18.70,44
187,     18.80,46
188,     18.90,49
189,     19.00,41
190,     19.10,40
191,     19.20,49
192,     19.30,37
193,     19.40,46
194,     19.50,52
195,     19.60,46
196,     19.70,39
197,     19.80,51
198,     19.90,40
199,     20.00,38
200,     20.10,48
201,     20.20,54
202,     20.30,44
203,     20.40,45
204,     20.50,44
205,     20.60,45
206,     20.70,51
207,     20.80,37
208,     20.90,51
209,     21.00,40
210,     21.10,48
211,     21.20,40
212,     21.30,28
213,     21.40,40
214,     21.50,47
215,     21.60,45
216,     21.70,41
217,     21.80,50
218,     21.90,37
219,     22.00,41
220,     22.10,45
221,     22.20,58
222,     22.30,51
223,     22.40,48
224,     22.50,48
225,     22.60,34
226,     22.70,43
227,     22.80,42
228,     22.90,46
229,     23.00,47
230,     23.10,48
231,     23.20,48
232,     23.30,45
233,     23.40,50
234,     23.50,44
235,     23.60,47
236,     23.70,52
237,     23.80,61
238,     23.90,50
239,     24.00,50
240,     24.10,34
241,     24.20,37
242,     24.30,44
243,     24.40,58
244,     24.50,35
245,     24.60,40
246,     24.70,52
247,     24.80,45
248,     24.90,49
249,     25.00,41
250,     25.10,51
251,     25.20,42
252,     25.30,41
253,     25.40,42
254,     25.50,42
255,     25.60,46
256,     25.70,47
257,     25.80,48
258,     25.90,65
259,     26.00,55
260,     26.10,59
261,     26.20,43
262,     26.30,45
263,     26.40,41
264,     26.50,55
265,     26.60,49
266,     26.70,44
267,     26.80,46
268,     26.90,47
269,     27.00,49
270,     27.10,49
271,     27.20,37
272,     27.30,30
273,     27.40,53
274,     27.50,49
275,     27.60,44
276,     27.70,45
277,     27.80,46
278,     27.90,40
279,     28.00,49
280,     28.10,45
281,     28.20,43
282,     28.30,45
283,     28.40,39
284,     28.50,39
285,     28.60,40
286,     28.70,49
287,     28.80,43
288,     28.90,36
289,     29.00,51
290,     29.10,48
291,     29.20,50
292,     29.30,41
293,     29.40,45
294,     29.50,36
295,     29.60,39
296,     29.70,54
297,     29.80,47
298,     29.90,48
299,     30.00,48
300,     30.10,42
301,     30.20,44
302,     30.30,54
303,     30.40,51
304,     30.50,60
305,     30.60,50
306,     30.70,47
307,     30.80,52
308,     30.90,52
309,     31.00,32
310,     31.10,51
311,     31.20,50
312,     31.30,41
313,     31.40,40
314,     31.50,44
315,     31.60,52
316,     31.70,47
317,     31.80,46
318,     31.90,49
319,     32.00,47
320,     32.10,55
321,     32.20,54
322,     32.30,36
323,     32.40,49
324,     32.50,51
325,     32.60,47
326,     32.70,37
