# header lines commented out 3/9 JL
#Spectrum Name:,
#Description:,
#Student ID:,
#Detector Used:,
#Comments:,
#Acquisition Mode:,Mossbauer
#Mossbauer Dwell Time:,0.1 mSeconds
#Elapsed Passes:,5000 
#High Voltage:,1800
#Conversion Gain:,2048
#Coarse Gain:,32
#Fine Gain:,1.78
#ULD:,  40%
#LLD:,  22%
#
#Channel Data:
#Chan,Dwell(mSec.),Counts
0,      0.10,29
1,      0.20,43
2,      0.30,33
3,      0.40,29
4,      0.50,32
5,      0.60,41
6,      0.70,44
7,      0.80,22
8,      0.90,26
9,      1.00,30
10,      1.10,33
11,      1.20,31
12,      1.30,32
13,      1.40,33
14,      1.50,32
15,      1.60,36
16,      1.70,32
17,      1.80,39
18,      1.90,31
19,      2.00,37
20,      2.10,22
21,      2.20,20
22,      2.30,18
23,      2.40,21
24,      2.50,26
25,      2.60,31
26,      2.70,24
27,      2.80,28
28,      2.90,38
29,      3.00,37
30,      3.10,34
31,      3.20,40
32,      3.30,27
33,      3.40,28
34,      3.50,33
35,      3.60,25
36,      3.70,17
37,      3.80,27
38,      3.90,24
39,      4.00,28
40,      4.10,25
41,      4.20,43
42,      4.30,42
43,      4.40,36
44,      4.50,32
45,      4.60,35
46,      4.70,35
47,      4.80,24
48,      4.90,36
49,      5.00,32
50,      5.10,33
51,      5.20,39
52,      5.30,39
53,      5.40,43
54,      5.50,36
55,      5.60,32
56,      5.70,29
57,      5.80,30
58,      5.90,26
59,      6.00,27
60,      6.10,37
61,      6.20,38
62,      6.30,27
63,      6.40,48
64,      6.50,33
65,      6.60,35
66,      6.70,30
67,      6.80,32
68,      6.90,35
69,      7.00,20
70,      7.10,18
71,      7.20,26
72,      7.30,20
73,      7.40,33
74,      7.50,36
75,      7.60,44
76,      7.70,34
77,      7.80,35
78,      7.90,28
79,      8.00,36
80,      8.10,35
81,      8.20,43
82,      8.30,44
83,      8.40,26
84,      8.50,21
85,      8.60,22
86,      8.70,28
87,      8.80,28
88,      8.90,32
89,      9.00,31
90,      9.10,41
91,      9.20,28
92,      9.30,30
93,      9.40,36
94,      9.50,22
95,      9.60,41
96,      9.70,34
97,      9.80,31
98,      9.90,40
99,     10.00,48
100,     10.10,34
101,     10.20,35
102,     10.30,35
103,     10.40,38
104,     10.50,41
105,     10.60,40
106,     10.70,36
107,     10.80,27
108,     10.90,29
109,     11.00,36
110,     11.10,41
111,     11.20,30
112,     11.30,32
113,     11.40,32
114,     11.50,33
115,     11.60,43
116,     11.70,44
117,     11.80,33
118,     11.90,42
119,     12.00,29
120,     12.10,29
121,     12.20,34
122,     12.30,35
123,     12.40,40
124,     12.50,36
125,     12.60,31
126,     12.70,41
127,     12.80,40
128,     12.90,26
129,     13.00,35
130,     13.10,30
131,     13.20,39
132,     13.30,34
133,     13.40,29
134,     13.50,32
135,     13.60,28
136,     13.70,42
137,     13.80,36
