Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,Mossbauer
Mossbauer Dwell Time:,0.1 mSeconds
Elapsed Passes:,1625003 
High Voltage:,1800
Conversion Gain:,2048
Coarse Gain:,32
Fine Gain:,1.78
ULD:,  40%
LLD:,  22%

Channel Data:
Chan,Dwell(mSec.),Counts
0,      0.10,33086
1,      0.20,32944
2,      0.30,32866
3,      0.40,32109
4,      0.50,30183
5,      0.60,29997
6,      0.70,32601
7,      0.80,33676
8,      0.90,33470
9,      1.00,33715
10,      1.10,33813
11,      1.20,34192
12,      1.30,33418
13,      1.40,33971
14,      1.50,33926
15,      1.60,34038
16,      1.70,33664
17,      1.80,33655
18,      1.90,33861
19,      2.00,33805
20,      2.10,33443
21,      2.20,33325
22,      2.30,32577
23,      2.40,30554
24,      2.50,31780
25,      2.60,33304
26,      2.70,33679
27,      2.80,33928
28,      2.90,33680
29,      3.00,33933
30,      3.10,33971
31,      3.20,33970
32,      3.30,33550
33,      3.40,33832
34,      3.50,34049
35,      3.60,34086
36,      3.70,33627
37,      3.80,33703
38,      3.90,33859
39,      4.00,33993
40,      4.10,34152
41,      4.20,33529
42,      4.30,33163
43,      4.40,32619
44,      4.50,32633
45,      4.60,33677
46,      4.70,33891
47,      4.80,33796
48,      4.90,33404
49,      5.00,33711
50,      5.10,33585
51,      5.20,33790
52,      5.30,33977
53,      5.40,33783
54,      5.50,34265
55,      5.60,33819
56,      5.70,33840
57,      5.80,33690
58,      5.90,32053
59,      6.00,32127
60,      6.10,33414
61,      6.20,33899
62,      6.30,33706
63,      6.40,33975
64,      6.50,33750
65,      6.60,33920
66,      6.70,33746
67,      6.80,33854
68,      6.90,33723
69,      7.00,33900
70,      7.10,34107
71,      7.20,34116
72,      7.30,33677
73,      7.40,33665
74,      7.50,33726
75,      7.60,34092
76,      7.70,33623
77,      7.80,33100
78,      7.90,31125
79,      8.00,31406
80,      8.10,32934
81,      8.20,33564
82,      8.30,33507
83,      8.40,33853
84,      8.50,33905
85,      8.60,33716
86,      8.70,33729
87,      8.80,34107
88,      8.90,34083
89,      9.00,33537
90,      9.10,33588
91,      9.20,33948
92,      9.30,33965
