Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,Mossbauer
Mossbauer Dwell Time:,0.1 mSeconds
Elapsed Passes:,321558 
High Voltage:,1800
Conversion Gain:,2048
Coarse Gain:,32
Fine Gain:,1.78
ULD:,  40%
LLD:,  22%

Channel Data:
Chan,Dwell(mSec.),Counts
0,      0.10,2225
1,      0.20,2167
2,      0.30,2169
3,      0.40,2227
4,      0.50,2158
5,      0.60,2147
6,      0.70,2222
7,      0.80,2132
8,      0.90,2218
9,      1.00,2158
10,      1.10,2241
11,      1.20,2204
12,      1.30,2159
13,      1.40,2197
14,      1.50,2169
15,      1.60,2206
16,      1.70,2257
17,      1.80,2240
18,      1.90,2208
19,      2.00,2262
20,      2.10,2134
21,      2.20,2163
22,      2.30,2204
23,      2.40,2181
24,      2.50,2178
25,      2.60,2160
26,      2.70,2180
27,      2.80,2223
28,      2.90,2244
29,      3.00,2216
30,      3.10,2198
31,      3.20,2210
32,      3.30,2180
33,      3.40,2199
34,      3.50,2155
35,      3.60,2206
36,      3.70,2210
37,      3.80,2222
38,      3.90,2218
39,      4.00,2170
40,      4.10,2198
41,      4.20,2169
42,      4.30,2255
43,      4.40,2250
44,      4.50,2194
45,      4.60,2283
46,      4.70,2218
47,      4.80,2154
48,      4.90,2206
49,      5.00,2173
50,      5.10,2193
51,      5.20,2171
52,      5.30,2110
53,      5.40,2052
54,      5.50,1948
55,      5.60,2027
56,      5.70,2027
57,      5.80,2025
58,      5.90,2130
59,      6.00,1983
60,      6.10,2086
61,      6.20,2191
62,      6.30,2204
63,      6.40,2108
64,      6.50,2142
65,      6.60,2156
66,      6.70,2117
67,      6.80,2116
68,      6.90,2175
69,      7.00,2165
70,      7.10,2229
71,      7.20,2188
72,      7.30,2210
73,      7.40,2173
74,      7.50,2196
75,      7.60,2219
76,      7.70,2191
77,      7.80,2221
78,      7.90,2225
79,      8.00,2247
80,      8.10,2165
81,      8.20,2180
82,      8.30,2133
83,      8.40,2182
84,      8.50,2141
85,      8.60,2131
86,      8.70,2220
87,      8.80,2131
88,      8.90,2214
89,      9.00,2247
90,      9.10,2154
91,      9.20,2123
92,      9.30,2189
93,      9.40,2209
94,      9.50,2202
95,      9.60,2219
96,      9.70,2158
97,      9.80,2208
98,      9.90,2244
99,     10.00,2146
100,     10.10,2181
101,     10.20,2239
102,     10.30,2247
103,     10.40,2088
104,     10.50,2264
105,     10.60,2231
106,     10.70,2230
107,     10.80,2136
108,     10.90,2199
109,     11.00,2140
110,     11.10,2147
111,     11.20,2202
112,     11.30,2298
113,     11.40,2246
114,     11.50,2137
115,     11.60,2183
116,     11.70,2188
117,     11.80,2192
118,     11.90,2292
119,     12.00,2218
120,     12.10,2130
121,     12.20,2213
122,     12.30,2224
123,     12.40,2130
124,     12.50,2286
125,     12.60,2227
126,     12.70,2234
127,     12.80,2132
128,     12.90,2237
129,     13.00,2241
130,     13.10,2218
131,     13.20,2140
132,     13.30,2195
133,     13.40,2110
134,     13.50,2243
135,     13.60,2252
136,     13.70,2143
137,     13.80,2239
138,     13.90,2224
139,     14.00,2160
140,     14.10,2236
141,     14.20,2180
142,     14.30,2241
143,     14.40,2132
144,     14.50,2119
145,     14.60,2154
146,     14.70,2107
147,     14.80,2199
148,     14.90,2287
149,     15.00,2204
150,     15.10,2233
151,     15.20,2214
152,     15.30,2224
153,     15.40,2126
154,     15.50,2154
155,     15.60,2098
156,     15.70,2167
157,     15.80,2262
158,     15.90,2250
159,     16.00,2080
160,     16.10,2195
161,     16.20,2287
162,     16.30,2209
163,     16.40,2196
164,     16.50,2118
165,     16.60,2276
166,     16.70,2191
167,     16.80,2213
168,     16.90,2215
169,     17.00,2189
170,     17.10,2193
171,     17.20,2227
172,     17.30,2300
173,     17.40,2243
174,     17.50,2200
175,     17.60,2104
176,     17.70,2189
177,     17.80,2209
178,     17.90,2174
179,     18.00,2157
180,     18.10,2260
181,     18.20,2162
182,     18.30,2190
183,     18.40,2253
184,     18.50,2161
185,     18.60,2189
186,     18.70,2244
187,     18.80,2201
188,     18.90,2219
189,     19.00,2201
190,     19.10,2265
191,     19.20,2147
192,     19.30,2187
193,     19.40,2257
194,     19.50,2195
195,     19.60,2263
196,     19.70,2132
197,     19.80,2158
198,     19.90,2262
199,     20.00,2076
200,     20.10,2214
201,     20.20,2236
202,     20.30,2141
203,     20.40,2202
204,     20.50,2229
205,     20.60,2242
206,     20.70,2197
207,     20.80,2104
208,     20.90,2157
209,     21.00,2253
210,     21.10,2199
211,     21.20,2170
212,     21.30,2203
213,     21.40,2143
214,     21.50,2211
215,     21.60,2222
216,     21.70,2230
