Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,Mossbauer
Mossbauer Dwell Time:,0.1 mSeconds
Elapsed Passes:,1185143 
High Voltage:,1800
Conversion Gain:,2048
Coarse Gain:,4
Fine Gain:,1.78
ULD:,  40%
LLD:,  22%

Channel Data:
Chan,Dwell(mSec.),Counts
0,      0.10,15406
1,      0.20,15788
2,      0.30,15993
3,      0.40,15832
4,      0.50,15419
5,      0.60,14827
6,      0.70,14650
7,      0.80,14664
8,      0.90,15107
9,      1.00,15339
10,      1.10,15722
11,      1.20,15905
12,      1.30,15722
13,      1.40,15717
14,      1.50,16044
15,      1.60,15920
16,      1.70,15867
17,      1.80,15934
18,      1.90,15772
19,      2.00,16118
20,      2.10,15787
21,      2.20,15625
22,      2.30,15700
23,      2.40,15817
24,      2.50,15372
25,      2.60,14712
26,      2.70,15012
27,      2.80,15548
28,      2.90,15626
29,      3.00,15804
30,      3.10,15937
31,      3.20,15673
32,      3.30,15945
33,      3.40,15697
34,      3.50,16094
35,      3.60,15955
36,      3.70,15899
37,      3.80,15911
38,      3.90,15944
39,      4.00,15846
40,      4.10,15888
41,      4.20,15659
42,      4.30,15887
43,      4.40,15436
44,      4.50,15155
45,      4.60,15629
46,      4.70,16079
47,      4.80,16143
48,      4.90,15828
49,      5.00,15923
50,      5.10,15904
51,      5.20,15836
52,      5.30,15833
53,      5.40,15860
54,      5.50,15762
55,      5.60,15552
56,      5.70,15566
57,      5.80,15466
58,      5.90,15503
59,      6.00,15491
60,      6.10,15668
61,      6.20,15930
62,      6.30,16053
63,      6.40,16073
64,      6.50,16055
65,      6.60,15991
66,      6.70,16162
67,      6.80,15909
68,      6.90,16106
69,      7.00,15789
70,      7.10,16107
71,      7.20,15895
72,      7.30,15692
73,      7.40,15834
74,      7.50,15680
75,      7.60,15358
76,      7.70,15543
77,      7.80,15652
78,      7.90,15236
79,      8.00,15542
80,      8.10,15768
81,      8.20,16123
82,      8.30,16158
83,      8.40,16098
84,      8.50,16185
85,      8.60,15846
86,      8.70,16209
87,      8.80,15988
88,      8.90,16043
89,      9.00,16008
90,      9.10,15961
91,      9.20,15572
92,      9.30,15512
93,      9.40,15559
94,      9.50,15887
95,      9.60,15644
96,      9.70,15195
97,      9.80,15335
98,      9.90,15108
99,     10.00,15556
100,     10.10,15787
101,     10.20,15881
102,     10.30,15858
103,     10.40,16206
104,     10.50,16159
105,     10.60,16061
106,     10.70,16118
107,     10.80,16216
108,     10.90,16082
109,     11.00,16021
110,     11.10,16107
111,     11.20,16098
112,     11.30,15904
113,     11.40,16082
114,     11.50,16056
115,     11.60,16168
116,     11.70,16222
117,     11.80,16079
118,     11.90,16077
119,     12.00,16298
120,     12.10,16237
121,     12.20,15949
122,     12.30,16230
123,     12.40,16223
124,     12.50,16120
125,     12.60,16135
