Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,Mossbauer
Mossbauer Dwell Time:,0.1 mSeconds
Elapsed Passes:,367392 
High Voltage:,1800
Conversion Gain:,2048
Coarse Gain:,32
Fine Gain:,1.78
ULD:,  40%
LLD:,  22%

Channel Data:
Chan,Dwell(mSec.),Counts
0,      0.10,2516
1,      0.20,2591
2,      0.30,2543
3,      0.40,2482
4,      0.50,2554
5,      0.60,2469
6,      0.70,2521
7,      0.80,2583
8,      0.90,2565
9,      1.00,2477
10,      1.10,2625
11,      1.20,2544
12,      1.30,2533
13,      1.40,2562
14,      1.50,2521
15,      1.60,2465
16,      1.70,2463
17,      1.80,2562
18,      1.90,2459
19,      2.00,2509
20,      2.10,2371
21,      2.20,2402
22,      2.30,2220
23,      2.40,1940
24,      2.50,1803
25,      2.60,2199
26,      2.70,2296
27,      2.80,2453
28,      2.90,2496
29,      3.00,2504
30,      3.10,2411
31,      3.20,2470
32,      3.30,2399
33,      3.40,2389
34,      3.50,2328
35,      3.60,2096
36,      3.70,1715
37,      3.80,1978
38,      3.90,2213
39,      4.00,2421
40,      4.10,2455
41,      4.20,2481
42,      4.30,2352
43,      4.40,2469
44,      4.50,2584
45,      4.60,2460
46,      4.70,2533
47,      4.80,2342
48,      4.90,2160
49,      5.00,2034
50,      5.10,2244
51,      5.20,2431
52,      5.30,2443
53,      5.40,2558
54,      5.50,2576
55,      5.60,2509
56,      5.70,2472
57,      5.80,2266
58,      5.90,2061
59,      6.00,2025
60,      6.10,2413
61,      6.20,2418
62,      6.30,2518
63,      6.40,2515
64,      6.50,2446
65,      6.60,2404
66,      6.70,2501
67,      6.80,2406
68,      6.90,2387
69,      7.00,2310
70,      7.10,1955
71,      7.20,1771
72,      7.30,1929
73,      7.40,2141
74,      7.50,2249
75,      7.60,2383
76,      7.70,2429
77,      7.80,2476
78,      7.90,2462
79,      8.00,2447
80,      8.10,2515
81,      8.20,2421
82,      8.30,2288
83,      8.40,1959
84,      8.50,1782
85,      8.60,2113
86,      8.70,2314
87,      8.80,2339
88,      8.90,2424
89,      9.00,2460
90,      9.10,2474
91,      9.20,2510
92,      9.30,2543
93,      9.40,2525
94,      9.50,2529
95,      9.60,2489
96,      9.70,2570
97,      9.80,2594
98,      9.90,2454
99,     10.00,2499
100,     10.10,2608
101,     10.20,2583
102,     10.30,2523
103,     10.40,2594
104,     10.50,2541
105,     10.60,2509
106,     10.70,2582
107,     10.80,2608
108,     10.90,2512
109,     11.00,2618
110,     11.10,2547
111,     11.20,2509
112,     11.30,2460
113,     11.40,2543
114,     11.50,2553
115,     11.60,2566
116,     11.70,2480
117,     11.80,2566
118,     11.90,2599
119,     12.00,2550
120,     12.10,2515
121,     12.20,2478
122,     12.30,2508
123,     12.40,2611
124,     12.50,2538
125,     12.60,2537
126,     12.70,2566
127,     12.80,2489
128,     12.90,2544
129,     13.00,2542
130,     13.10,2467
131,     13.20,2513
132,     13.30,2521
133,     13.40,2503
134,     13.50,2616
135,     13.60,2538
136,     13.70,2441
137,     13.80,2558
138,     13.90,2486
139,     14.00,2493
140,     14.10,2574
141,     14.20,2494
142,     14.30,2524
143,     14.40,2495
144,     14.50,2529
145,     14.60,2495
146,     14.70,2523
147,     14.80,2459
148,     14.90,2554
149,     15.00,2563
150,     15.10,2547
151,     15.20,2508
152,     15.30,2570
153,     15.40,2525
154,     15.50,2513
155,     15.60,2508
156,     15.70,2547
157,     15.80,2547
158,     15.90,2604
159,     16.00,2607
160,     16.10,2511
161,     16.20,2595
162,     16.30,2429
163,     16.40,2547
164,     16.50,2569
165,     16.60,2424
166,     16.70,2471
167,     16.80,2402
168,     16.90,2490
169,     17.00,2493
170,     17.10,2507
171,     17.20,2604
172,     17.30,2473
173,     17.40,2529
174,     17.50,2542
175,     17.60,2565
176,     17.70,2547
177,     17.80,2481
178,     17.90,2566
179,     18.00,2525
180,     18.10,2451
181,     18.20,2587
182,     18.30,2575
183,     18.40,2630
184,     18.50,2468
185,     18.60,2607
186,     18.70,2474
187,     18.80,2493
188,     18.90,2479
189,     19.00,2558
190,     19.10,2524
191,     19.20,2600
192,     19.30,2503
193,     19.40,2480
194,     19.50,2555
195,     19.60,2490
196,     19.70,2502
197,     19.80,2639
198,     19.90,2517
199,     20.00,2548
200,     20.10,2580
201,     20.20,2537
202,     20.30,2567
203,     20.40,2565
204,     20.50,2454
205,     20.60,2496
206,     20.70,2443
207,     20.80,2471
208,     20.90,2467
209,     21.00,2511
210,     21.10,2486
211,     21.20,2516
212,     21.30,2539
213,     21.40,2500
214,     21.50,2467
215,     21.60,2494
216,     21.70,2500
217,     21.80,2447
218,     21.90,2472
219,     22.00,2560
220,     22.10,2599
221,     22.20,2494
222,     22.30,2420
223,     22.40,2511
224,     22.50,2597
225,     22.60,2550
226,     22.70,2554
227,     22.80,2521
228,     22.90,2479
229,     23.00,2531
230,     23.10,2602
231,     23.20,2521
232,     23.30,2459
233,     23.40,2469
234,     23.50,2617
235,     23.60,2610
236,     23.70,2530
237,     23.80,2473
238,     23.90,2689
239,     24.00,2490
240,     24.10,2548
241,     24.20,2602
242,     24.30,2546
243,     24.40,2551
244,     24.50,2437
245,     24.60,2556
246,     24.70,2565
247,     24.80,2466
248,     24.90,2582
249,     25.00,2475
250,     25.10,2538
251,     25.20,2551
252,     25.30,2431
253,     25.40,2544
254,     25.50,2458
255,     25.60,2431
256,     25.70,2391
257,     25.80,2498
258,     25.90,2422
259,     26.00,2545
260,     26.10,2580
261,     26.20,2514
262,     26.30,2402
263,     26.40,2577
264,     26.50,2446
265,     26.60,2432
266,     26.70,2496
267,     26.80,2546
268,     26.90,2618
269,     27.00,2457
270,     27.10,2579
271,     27.20,2482
272,     27.30,2462
273,     27.40,2543
274,     27.50,2523
275,     27.60,2567
276,     27.70,2563
277,     27.80,2443
278,     27.90,2520
279,     28.00,2550
280,     28.10,2567
281,     28.20,2520
282,     28.30,2526
283,     28.40,2480
284,     28.50,2497
285,     28.60,2522
286,     28.70,2557
287,     28.80,2459
288,     28.90,2527
289,     29.00,2506
290,     29.10,2583
291,     29.20,2426
292,     29.30,2554
293,     29.40,2574
294,     29.50,2514
295,     29.60,2479
296,     29.70,2581
297,     29.80,2548
298,     29.90,2529
299,     30.00,2541
300,     30.10,2500
301,     30.20,2461
302,     30.30,2458
303,     30.40,2560
304,     30.50,2460
305,     30.60,2460
306,     30.70,2423
307,     30.80,2549
308,     30.90,2553
309,     31.00,2447
310,     31.10,2585
311,     31.20,2512
312,     31.30,2505
313,     31.40,2504
314,     31.50,2417
315,     31.60,2555
316,     31.70,2497
317,     31.80,2537
318,     31.90,2478
319,     32.00,2499
320,     32.10,2521
321,     32.20,2450
322,     32.30,2532
323,     32.40,2434
324,     32.50,2520
325,     32.60,2491
326,     32.70,2529
327,     32.80,2481
328,     32.90,2515
329,     33.00,2560
330,     33.10,2451
331,     33.20,2402
332,     33.30,2505
333,     33.40,2484
334,     33.50,2451
335,     33.60,2497
336,     33.70,2599
337,     33.80,2475
338,     33.90,2521
339,     34.00,2539
340,     34.10,2556
341,     34.20,2437
