# header lines commented out 3/9 JL
#Spectrum Name:,
#Description:,
#Student ID:,
#Detector Used:,
#Comments:,
#Acquisition Mode:,Mossbauer
#Mossbauer Dwell Time:,0.1 mSeconds
#Elapsed Passes:,5000 
#High Voltage:,1800
#Conversion Gain:,2048
#Coarse Gain:,32
#Fine Gain:,1.78
#ULD:,  40%
#LLD:,  22%
#
#Channel Data:
#Chan,Dwell(mSec.),Counts
0,      0.10,132
1,      0.20,108
2,      0.30,133
3,      0.40,102
4,      0.50,106
5,      0.60,121
6,      0.70,106
7,      0.80,99
8,      0.90,101
9,      1.00,95
10,      1.10,122
11,      1.20,107
12,      1.30,114
13,      1.40,127
14,      1.50,100
15,      1.60,108
16,      1.70,123
17,      1.80,114
18,      1.90,103
19,      2.00,122
20,      2.10,104
21,      2.20,117
22,      2.30,110
23,      2.40,91
24,      2.50,78
25,      2.60,92
26,      2.70,105
27,      2.80,112
28,      2.90,106
29,      3.00,131
30,      3.10,100
31,      3.20,110
32,      3.30,115
33,      3.40,91
34,      3.50,107
35,      3.60,71
36,      3.70,68
37,      3.80,69
38,      3.90,116
39,      4.00,114
40,      4.10,99
41,      4.20,112
42,      4.30,109
43,      4.40,102
44,      4.50,118
45,      4.60,125
46,      4.70,101
47,      4.80,109
48,      4.90,90
49,      5.00,77
50,      5.10,108
51,      5.20,108
52,      5.30,96
53,      5.40,123
54,      5.50,121
55,      5.60,124
56,      5.70,131
57,      5.80,110
58,      5.90,113
59,      6.00,91
60,      6.10,92
61,      6.20,99
62,      6.30,95
63,      6.40,94
64,      6.50,103
65,      6.60,105
66,      6.70,114
67,      6.80,118
68,      6.90,111
69,      7.00,109
70,      7.10,97
71,      7.20,89
72,      7.30,92
73,      7.40,87
74,      7.50,104
75,      7.60,97
76,      7.70,114
77,      7.80,133
78,      7.90,107
79,      8.00,108
80,      8.10,111
81,      8.20,111
82,      8.30,91
83,      8.40,93
84,      8.50,71
85,      8.60,80
86,      8.70,95
87,      8.80,116
88,      8.90,118
89,      9.00,98
90,      9.10,115
91,      9.20,110
92,      9.30,130
93,      9.40,117
94,      9.50,119
95,      9.60,107
96,      9.70,107
97,      9.80,107
98,      9.90,113
99,     10.00,122
100,     10.10,113
