# header lines commented out 3/9 JL
#Spectrum Name:,
#Description:,
#Student ID:,
#Detector Used:,
#Comments:,
#Acquisition Mode:,Mossbauer
#Mossbauer Dwell Time:,0.1 mSeconds
#Elapsed Passes:,5000 
#High Voltage:,1800
#Conversion Gain:,2048
#Coarse Gain:,32
#Fine Gain:,1.78
#ULD:,  40%
#LLD:,  22%
#
#Channel Data:
#Chan,Dwell(mSec.),Counts
0,      0.10,86
1,      0.20,85
2,      0.30,85
3,      0.40,89
4,      0.50,91
5,      0.60,85
6,      0.70,93
7,      0.80,92
8,      0.90,92
9,      1.00,91
10,      1.10,82
11,      1.20,93
12,      1.30,90
13,      1.40,103
14,      1.50,106
15,      1.60,84
16,      1.70,88
17,      1.80,83
18,      1.90,90
19,      2.00,81
20,      2.10,70
21,      2.20,80
22,      2.30,66
23,      2.40,40
24,      2.50,67
25,      2.60,73
26,      2.70,87
27,      2.80,80
28,      2.90,77
29,      3.00,81
30,      3.10,82
31,      3.20,76
32,      3.30,85
33,      3.40,99
34,      3.50,78
35,      3.60,56
36,      3.70,60
37,      3.80,79
38,      3.90,99
39,      4.00,72
40,      4.10,76
41,      4.20,77
42,      4.30,75
43,      4.40,82
44,      4.50,73
45,      4.60,90
46,      4.70,87
47,      4.80,86
48,      4.90,72
49,      5.00,76
50,      5.10,86
51,      5.20,93
52,      5.30,96
53,      5.40,63
54,      5.50,91
55,      5.60,89
56,      5.70,96
57,      5.80,81
58,      5.90,64
59,      6.00,80
60,      6.10,87
61,      6.20,89
62,      6.30,95
63,      6.40,88
64,      6.50,101
65,      6.60,88
66,      6.70,92
67,      6.80,102
68,      6.90,87
69,      7.00,83
70,      7.10,68
71,      7.20,51
72,      7.30,72
73,      7.40,73
74,      7.50,72
75,      7.60,85
76,      7.70,85
77,      7.80,84
78,      7.90,102
79,      8.00,104
80,      8.10,82
81,      8.20,81
82,      8.30,92
83,      8.40,73
84,      8.50,59
85,      8.60,59
86,      8.70,83
87,      8.80,95
88,      8.90,82
89,      9.00,82
90,      9.10,86
91,      9.20,98
92,      9.30,97
93,      9.40,76
94,      9.50,86
95,      9.60,82
96,      9.70,83
97,      9.80,101
98,      9.90,88
99,     10.00,80
100,     10.10,63
101,     10.20,97
102,     10.30,87
103,     10.40,83
104,     10.50,90
105,     10.60,78
106,     10.70,96
107,     10.80,95
108,     10.90,98
109,     11.00,93
110,     11.10,86
111,     11.20,83
112,     11.30,84
113,     11.40,92
114,     11.50,92
115,     11.60,96
116,     11.70,81
117,     11.80,79
118,     11.90,87
119,     12.00,95
120,     12.10,75
121,     12.20,78
122,     12.30,95
123,     12.40,87
124,     12.50,96
125,     12.60,74
126,     12.70,88
127,     12.80,79
128,     12.90,95
129,     13.00,91
130,     13.10,84
131,     13.20,92
132,     13.30,86
133,     13.40,92
134,     13.50,84
135,     13.60,90
136,     13.70,78
137,     13.80,91
138,     13.90,79
139,     14.00,79
140,     14.10,97
141,     14.20,89
142,     14.30,75
143,     14.40,108
144,     14.50,103
145,     14.60,99
146,     14.70,90
147,     14.80,83
148,     14.90,112
149,     15.00,104
150,     15.10,79
151,     15.20,87
152,     15.30,98
153,     15.40,89
154,     15.50,90
155,     15.60,94
156,     15.70,89
157,     15.80,93
158,     15.90,78
159,     16.00,92
160,     16.10,83
161,     16.20,94
162,     16.30,90
163,     16.40,81
164,     16.50,87
165,     16.60,88
166,     16.70,90
167,     16.80,86
168,     16.90,94
169,     17.00,72
170,     17.10,105
171,     17.20,75
172,     17.30,102
173,     17.40,93
174,     17.50,85
175,     17.60,92
176,     17.70,110
177,     17.80,83
178,     17.90,90
179,     18.00,74
180,     18.10,101
181,     18.20,96
182,     18.30,67
183,     18.40,84
184,     18.50,80
185,     18.60,101
186,     18.70,112
187,     18.80,84
188,     18.90,73
189,     19.00,107
190,     19.10,93
191,     19.20,70
192,     19.30,92
193,     19.40,81
194,     19.50,93
195,     19.60,97
196,     19.70,84
197,     19.80,86
198,     19.90,100
199,     20.00,92
200,     20.10,93
201,     20.20,105
202,     20.30,95
203,     20.40,98
204,     20.50,90
205,     20.60,98
206,     20.70,87
207,     20.80,106
208,     20.90,85
209,     21.00,83
210,     21.10,102
211,     21.20,94
212,     21.30,95
213,     21.40,83
214,     21.50,82
215,     21.60,82
216,     21.70,75
217,     21.80,74
218,     21.90,84
219,     22.00,84
220,     22.10,92
221,     22.20,80
222,     22.30,73
223,     22.40,74
224,     22.50,67
225,     22.60,85
226,     22.70,97
227,     22.80,96
228,     22.90,105
229,     23.00,91
230,     23.10,80
231,     23.20,122
232,     23.30,86
233,     23.40,91
234,     23.50,84
235,     23.60,90
236,     23.70,91
237,     23.80,95
238,     23.90,70
239,     24.00,99
240,     24.10,105
241,     24.20,91
242,     24.30,84
243,     24.40,80
244,     24.50,91
245,     24.60,82
246,     24.70,87
247,     24.80,89
248,     24.90,87
249,     25.00,97
250,     25.10,86
251,     25.20,80
252,     25.30,85
253,     25.40,84
254,     25.50,84
255,     25.60,83
256,     25.70,102
257,     25.80,71
258,     25.90,70
259,     26.00,84
260,     26.10,84
261,     26.20,94
262,     26.30,96
263,     26.40,88
264,     26.50,86
