,CH1,CH2
Second,Volt,Volt
-2.22400e-01,-3.80e-03,-2.40e-01, 
-2.22327e-01,-3.80e-03,-2.40e-01, 
-2.22254e-01,-3.80e-03,-2.40e-01, 
-2.22180e-01,-3.80e-03,-2.40e-01, 
-2.22107e-01,-3.80e-03,-2.40e-01, 
-2.22034e-01,-4.40e-03,-2.40e-01, 
-2.21961e-01,-4.00e-03,-2.40e-01, 
-2.21887e-01,-3.80e-03,-2.00e-01, 
-2.21814e-01,-3.80e-03,-2.40e-01, 
-2.21741e-01,-3.80e-03,-2.00e-01, 
-2.21668e-01,-4.00e-03,-2.40e-01, 
-2.21594e-01,-4.40e-03,-2.00e-01, 
-2.21521e-01,-4.00e-03,-2.40e-01, 
-2.21448e-01,-3.60e-03,-2.40e-01, 
-2.21375e-01,-4.00e-03,-2.40e-01, 
-2.21301e-01,-4.20e-03,-2.00e-01, 
-2.21228e-01,-4.20e-03,-2.00e-01, 
-2.21155e-01,-4.20e-03,-2.00e-01, 
-2.21082e-01,-4.00e-03,-2.40e-01, 
-2.21008e-01,-3.80e-03,-2.40e-01, 
-2.20935e-01,-3.60e-03,-2.40e-01, 
-2.20862e-01,-4.40e-03,-2.40e-01, 
-2.20789e-01,-4.40e-03,-2.40e-01, 
-2.20715e-01,-4.00e-03,-2.00e-01, 
-2.20642e-01,-4.40e-03,-2.40e-01, 
-2.20569e-01,-4.20e-03,-2.00e-01, 
-2.20496e-01,-3.60e-03,-2.00e-01, 
-2.20422e-01,-3.80e-03,-2.40e-01, 
-2.20349e-01,-4.00e-03,-2.00e-01, 
-2.20276e-01,-3.60e-03,-2.00e-01, 
-2.20203e-01,-4.20e-03,-2.40e-01, 
-2.20129e-01,-4.00e-03,-2.80e-01, 
-2.20056e-01,-3.80e-03,-2.40e-01, 
-2.19983e-01,-4.00e-03,-2.40e-01, 
-2.19910e-01,-4.20e-03,-2.00e-01, 
-2.19837e-01,-4.00e-03,-2.40e-01, 
-2.19763e-01,-3.60e-03,-2.40e-01, 
-2.19690e-01,-4.20e-03,-2.00e-01, 
-2.19617e-01,-3.80e-03,-2.00e-01, 
-2.19544e-01,-3.80e-03,-2.40e-01, 
-2.19470e-01,-4.00e-03,-2.80e-01, 
-2.19397e-01,-4.20e-03,-3.20e-01, 
-2.19324e-01,-3.80e-03,-2.80e-01, 
-2.19251e-01,-4.00e-03,-2.00e-01, 
-2.19177e-01,-4.20e-03,-2.40e-01, 
-2.19104e-01,-4.00e-03,-2.40e-01, 
-2.19031e-01,-4.00e-03,-2.40e-01, 
-2.18958e-01,-3.60e-03,-2.00e-01, 
-2.18884e-01,-4.20e-03,-2.00e-01, 
-2.18811e-01,-3.80e-03,-2.40e-01, 
-2.18738e-01,-4.00e-03,-3.20e-01, 
-2.18665e-01,-4.00e-03,-3.20e-01, 
-2.18591e-01,-4.00e-03,-3.20e-01, 
-2.18518e-01,-3.60e-03,-2.80e-01, 
-2.18445e-01,-3.80e-03,-2.40e-01, 
-2.18372e-01,-4.20e-03,-2.80e-01, 
-2.18298e-01,-3.60e-03,-2.40e-01, 
-2.18225e-01,-3.80e-03,-2.00e-01, 
-2.18152e-01,-4.40e-03,-2.00e-01, 
-2.18079e-01,-3.60e-03,-2.80e-01, 
-2.18005e-01,-4.00e-03,-2.40e-01, 
-2.17932e-01,-4.00e-03,-2.40e-01, 
-2.17859e-01,-4.20e-03,-2.40e-01, 
-2.17786e-01,-3.80e-03,-2.40e-01, 
-2.17713e-01,-3.80e-03,-2.00e-01, 
-2.17639e-01,-4.00e-03,-2.00e-01, 
-2.17566e-01,-3.80e-03,-2.40e-01, 
-2.17493e-01,-4.20e-03,-2.00e-01, 
-2.17420e-01,-3.80e-03,-2.00e-01, 
-2.17346e-01,-3.80e-03,-2.40e-01, 
-2.17273e-01,-3.80e-03,-2.40e-01, 
-2.17200e-01,-4.20e-03,-2.40e-01, 
-2.17127e-01,-3.80e-03,-2.40e-01, 
-2.17053e-01,-3.60e-03,-2.40e-01, 
-2.16980e-01,-4.40e-03,-2.00e-01, 
-2.16907e-01,-4.20e-03,-2.40e-01, 
-2.16834e-01,-3.60e-03,-2.00e-01, 
-2.16760e-01,-3.40e-03,-2.00e-01, 
-2.16687e-01,-4.40e-03,-2.40e-01, 
-2.16614e-01,-4.20e-03,-2.40e-01, 
-2.16541e-01,-3.60e-03,-2.40e-01, 
-2.16467e-01,-2.80e-03,-2.40e-01, 
-2.16394e-01,-4.80e-03,-2.40e-01, 
-2.16321e-01,-5.80e-03,-2.00e-01, 
-2.16248e-01,-8.00e-03,-2.40e-01, 
-2.16174e-01,-1.60e-03,-1.72e+00, 
-2.16101e-01,-2.00e-04,-2.40e-01, 
-2.16028e-01,-2.00e-04,-2.80e-01, 
-2.15955e-01,-4.00e-04,-2.80e-01, 
-2.15881e-01,-9.80e-03,-2.40e-01, 
-2.15808e-01,-3.00e-03,-2.40e-01, 
-2.15735e-01,-3.00e-03,-2.80e-01, 
-2.15662e-01,-8.00e-03,-2.00e-01, 
-2.15588e-01,-6.40e-03,-2.00e-01, 
-2.15515e-01,-2.20e-03,-2.00e-01, 
-2.15442e-01,-2.60e-03,-2.40e-01, 
-2.15369e-01,-6.60e-03,-2.80e-01, 
-2.15296e-01,-6.00e-03,-2.00e-01, 
-2.15222e-01,-4.00e-03,-2.40e-01, 
-2.15149e-01,-3.80e-03,-2.80e-01, 
-2.15076e-01,-5.80e-03,-3.20e-01, 
-2.15003e-01,-5.80e-03,-3.20e-01, 
-2.14929e-01,-3.80e-03,-2.80e-01, 
-2.14856e-01,-3.00e-03,-2.00e-01, 
-2.14783e-01,-5.00e-03,-2.00e-01, 
-2.14710e-01,-5.60e-03,-3.20e-01, 
-2.14636e-01,-4.60e-03,-2.80e-01, 
-2.14563e-01,-3.60e-03,-2.00e-01, 
-2.14490e-01,-4.80e-03,-2.40e-01, 
-2.14417e-01,-5.20e-03,-2.80e-01, 
-2.14343e-01,-4.40e-03,-3.20e-01, 
-2.14270e-01,-4.00e-03,-3.20e-01, 
-2.14197e-01,-4.00e-03,-2.80e-01, 
-2.14124e-01,-4.80e-03,-2.40e-01, 
-2.14050e-01,-4.60e-03,-2.40e-01, 
-2.13977e-01,-3.40e-03,-2.40e-01, 
-2.13904e-01,-4.20e-03,-2.00e-01, 
-2.13831e-01,-4.80e-03,-2.40e-01, 
-2.13757e-01,-4.80e-03,-2.00e-01, 
-2.13684e-01,-4.40e-03,-2.00e-01, 
-2.13611e-01,-4.20e-03,-2.40e-01, 
-2.13538e-01,-4.80e-03,-2.40e-01, 
-2.13464e-01,-5.20e-03,-2.80e-01, 
-2.13391e-01,-4.40e-03,-2.40e-01, 
-2.13318e-01,-4.00e-03,-2.40e-01, 
-2.13245e-01,-4.60e-03,-2.00e-01, 
-2.13171e-01,-4.40e-03,-2.40e-01, 
-2.13098e-01,-3.60e-03,-2.00e-01, 
-2.13025e-01,-4.00e-03,-2.40e-01, 
-2.12952e-01,-4.20e-03,-2.00e-01, 
-2.12879e-01,-4.60e-03,-2.00e-01, 
-2.12805e-01,-4.00e-03,-2.40e-01, 
-2.12732e-01,-4.00e-03,-2.40e-01, 
-2.12659e-01,-4.00e-03,-2.40e-01, 
-2.12586e-01,-4.40e-03,-2.00e-01, 
-2.12512e-01,-3.80e-03,-2.00e-01, 
-2.12439e-01,-3.80e-03,-2.00e-01, 
-2.12366e-01,-4.40e-03,-2.00e-01, 
-2.12293e-01,-4.20e-03,-2.40e-01, 
-2.12219e-01,-4.00e-03,-2.40e-01, 
-2.12146e-01,-4.40e-03,-2.40e-01, 
-2.12073e-01,-4.60e-03,-2.40e-01, 
-2.12000e-01,-4.40e-03,-2.40e-01, 
-2.11926e-01,-4.20e-03,-2.00e-01, 
-2.11853e-01,-4.40e-03,-2.40e-01, 
-2.11780e-01,-4.20e-03,-2.00e-01, 
-2.11707e-01,-4.40e-03,-2.40e-01, 
-2.11633e-01,-4.20e-03,-2.40e-01, 
-2.11560e-01,-3.60e-03,-2.00e-01, 
-2.11487e-01,-4.20e-03,-2.00e-01, 
-2.11414e-01,-4.20e-03,-2.80e-01, 
-2.11340e-01,-4.40e-03,-2.40e-01, 
