,CH1,CH2
Second,Volt,Volt
3.52320e-02,8.00e-04,-2.80e-01, 
3.52400e-02,8.00e-04,-2.80e-01, 
3.52480e-02,8.00e-04,-2.80e-01, 
3.52560e-02,8.00e-04,-2.80e-01, 
3.52640e-02,8.00e-04,-2.80e-01, 
3.52720e-02,4.00e-04,-4.00e-01, 
3.52800e-02,4.00e-04,-2.80e-01, 
3.52880e-02,4.00e-04,-2.40e-01, 
3.52960e-02,4.00e-04,-2.00e-01, 
3.53040e-02,8.00e-04,-2.40e-01, 
3.53120e-02,8.00e-04,-2.80e-01, 
3.53200e-02,8.00e-04,-2.40e-01, 
3.53280e-02,4.00e-04,-2.40e-01, 
3.53360e-02,4.00e-04,-2.80e-01, 
3.53440e-02,4.00e-04,-2.80e-01, 
3.53520e-02,4.00e-04,-2.40e-01, 
3.53600e-02,4.00e-04,-2.40e-01, 
3.53680e-02,4.00e-04,-2.80e-01, 
3.53760e-02,8.00e-04,-2.40e-01, 
3.53840e-02,4.00e-04,-2.00e-01, 
3.53920e-02,4.00e-04,-2.40e-01, 
3.54000e-02,4.00e-04,-3.20e-01, 
3.54080e-02,4.00e-04,-3.20e-01, 
3.54160e-02,4.00e-04,-2.80e-01, 
3.54240e-02,4.00e-04,-2.80e-01, 
3.54320e-02,4.00e-04,-2.40e-01, 
3.54400e-02,4.00e-04,-2.40e-01, 
3.54480e-02,4.00e-04,-3.20e-01, 
3.54560e-02,4.00e-04,-2.80e-01, 
3.54640e-02,8.00e-04,-2.40e-01, 
3.54720e-02,4.00e-04,-2.40e-01, 
3.54800e-02,4.00e-04,-2.80e-01, 
3.54880e-02,4.00e-04,-3.60e-01, 
3.54960e-02,8.00e-04,-3.20e-01, 
3.55040e-02,8.00e-04,-2.40e-01, 
3.55120e-02,4.00e-04,-2.40e-01, 
3.55200e-02,4.00e-04,-2.00e-01, 
3.55280e-02,4.00e-04,-2.40e-01, 
3.55360e-02,4.00e-04,-3.20e-01, 
3.55440e-02,8.00e-04,-2.40e-01, 
3.55520e-02,4.00e-04,-2.80e-01, 
3.55600e-02,8.00e-04,-2.40e-01, 
3.55680e-02,4.00e-04,-2.80e-01, 
3.55760e-02,4.00e-04,-4.40e-01, 
3.55840e-02,4.00e-04,-2.80e-01, 
3.55920e-02,4.00e-04,-2.40e-01, 
3.56000e-02,8.00e-04,-2.40e-01, 
3.56080e-02,4.00e-04,-2.40e-01, 
3.56160e-02,4.00e-04,-2.80e-01, 
3.56240e-02,4.00e-04,-2.00e-01, 
3.56320e-02,4.00e-04,-2.80e-01, 
3.56400e-02,4.00e-04,-2.80e-01, 
3.56480e-02,4.00e-04,-2.40e-01, 
3.56560e-02,4.00e-04,-2.80e-01, 
3.56640e-02,4.00e-04,-2.80e-01, 
3.56720e-02,4.00e-04,-2.00e-01, 
3.56800e-02,4.00e-04,-2.80e-01, 
3.56880e-02,4.00e-04,-2.40e-01, 
3.56960e-02,4.00e-04,-2.40e-01, 
3.57040e-02,4.00e-04,-2.80e-01, 
3.57120e-02,4.00e-04,-2.80e-01, 
3.57200e-02,4.00e-04,-2.80e-01, 
3.57280e-02,4.00e-04,-2.80e-01, 
3.57360e-02,4.00e-04,-2.40e-01, 
3.57440e-02,4.00e-04,-2.00e-01, 
3.57520e-02,8.00e-04,-2.40e-01, 
3.57600e-02,8.00e-04,-2.80e-01, 
3.57680e-02,4.00e-04,-2.40e-01, 
3.57760e-02,4.00e-04,-2.40e-01, 
3.57840e-02,4.00e-04,-2.40e-01, 
3.57920e-02,8.00e-04,-3.20e-01, 
3.58000e-02,4.00e-04,-3.20e-01, 
3.58080e-02,4.00e-04,-2.80e-01, 
3.58160e-02,4.00e-04,-2.80e-01, 
3.58240e-02,4.00e-04,-2.40e-01, 
3.58320e-02,4.00e-04,-2.40e-01, 
3.58400e-02,8.00e-04,-3.20e-01, 
3.58480e-02,4.00e-04,-2.80e-01, 
3.58560e-02,4.00e-04,-2.40e-01, 
3.58640e-02,4.00e-04,-2.40e-01, 
3.58720e-02,8.00e-04,-2.80e-01, 
3.58800e-02,4.00e-04,-4.00e-01, 
3.58880e-02,8.00e-04,-3.20e-01, 
3.58960e-02,8.00e-04,-2.00e-01, 
3.59040e-02,4.00e-04,-2.40e-01, 
3.59120e-02,4.00e-04,-2.40e-01, 
3.59200e-02,4.00e-04,-2.40e-01, 
3.59280e-02,4.00e-04,-3.20e-01, 
3.59360e-02,4.00e-04,-2.40e-01, 
3.59440e-02,4.00e-04,-2.40e-01, 
3.59520e-02,4.00e-04,-3.20e-01, 
3.59600e-02,4.00e-04,-2.80e-01, 
3.59680e-02,8.00e-04,-3.60e-01, 
3.59760e-02,4.00e-04,-2.40e-01, 
3.59840e-02,4.00e-04,-2.40e-01, 
3.59920e-02,4.00e-04,-2.00e-01, 
3.60000e-02,4.00e-04,-2.00e-01, 
3.60080e-02,4.00e-04,-2.80e-01, 
3.60160e-02,4.00e-04,-2.40e-01, 
3.60240e-02,4.00e-04,-2.80e-01, 
3.60320e-02,4.00e-04,-2.80e-01, 
3.60400e-02,4.00e-04,-2.80e-01, 
3.60480e-02,4.00e-04,-2.40e-01, 
3.60560e-02,4.00e-04,-2.80e-01, 
3.60640e-02,4.00e-04,-2.40e-01, 
3.60720e-02,4.00e-04,-2.40e-01, 
3.60800e-02,4.00e-04,-2.40e-01, 
3.60880e-02,4.00e-04,-2.80e-01, 
3.60960e-02,4.00e-04,-3.20e-01, 
3.61040e-02,4.00e-04,-3.20e-01, 
3.61120e-02,4.00e-04,-2.80e-01, 
3.61200e-02,4.00e-04,-2.40e-01, 
3.61280e-02,4.00e-04,-2.40e-01, 
3.61360e-02,4.00e-04,-2.40e-01, 
