,CH1,CH2
Second,Volt,Volt
1.30112e-02,-1.00e-03,-2.00e-01, 
1.30120e-02,-1.00e-03,-2.00e-01, 
1.30128e-02,-1.00e-03,-2.00e-01, 
1.30136e-02,-1.00e-03,-2.00e-01, 
1.30144e-02,-1.00e-03,-2.00e-01, 
1.30152e-02,-1.20e-03,-2.00e-01, 
1.30160e-02,-1.20e-03,-2.00e-01, 
1.30168e-02,-1.00e-03,-2.00e-01, 
1.30176e-02,-1.00e-03,-2.00e-01, 
1.30184e-02,-1.00e-03,-2.00e-01, 
1.30192e-02,-1.00e-03,-2.00e-01, 
1.30200e-02,-1.00e-03,-2.00e-01, 
1.30208e-02,-1.00e-03,-2.00e-01, 
1.30216e-02,-1.00e-03,-2.00e-01, 
1.30224e-02,-8.00e-04,-2.00e-01, 
1.30232e-02,-1.00e-03,-2.00e-01, 
1.30240e-02,-8.00e-04,-2.00e-01, 
1.30248e-02,-8.00e-04,-2.00e-01, 
1.30256e-02,-8.00e-04,-2.00e-01, 
1.30264e-02,-8.00e-04,-2.00e-01, 
1.30272e-02,-8.00e-04,-2.00e-01, 
1.30280e-02,-1.00e-03,-2.00e-01, 
1.30288e-02,-1.00e-03,-2.00e-01, 
1.30296e-02,-1.00e-03,-2.00e-01, 
1.30304e-02,-1.00e-03,-2.00e-01, 
1.30312e-02,-1.00e-03,-2.00e-01, 
1.30320e-02,-1.00e-03,-2.00e-01, 
1.30328e-02,-1.00e-03,-2.00e-01, 
1.30336e-02,-1.00e-03,-2.00e-01, 
1.30344e-02,-1.00e-03,-2.00e-01, 
1.30352e-02,-1.00e-03,-2.00e-01, 
1.30360e-02,-1.20e-03,-2.00e-01, 
1.30368e-02,-1.20e-03,-2.00e-01, 
1.30376e-02,-1.20e-03,-2.00e-01, 
1.30384e-02,-1.00e-03,-2.00e-01, 
1.30392e-02,-1.20e-03,-2.00e-01, 
1.30400e-02,-1.20e-03,-2.00e-01, 
1.30408e-02,-1.40e-03,-2.00e-01, 
1.30416e-02,-1.40e-03,-2.00e-01, 
1.30424e-02,-1.40e-03,-2.00e-01, 
1.30432e-02,-1.40e-03,-2.00e-01, 
1.30440e-02,-1.40e-03,-2.00e-01, 
1.30448e-02,-1.40e-03,-2.00e-01, 
1.30456e-02,-1.20e-03,-2.00e-01, 
1.30464e-02,-1.40e-03,-2.00e-01, 
1.30472e-02,-1.40e-03,-2.00e-01, 
1.30480e-02,-1.60e-03,-2.00e-01, 
1.30488e-02,-1.40e-03,-2.00e-01, 
1.30496e-02,-1.60e-03,-2.00e-01, 
1.30504e-02,-1.40e-03,-2.00e-01, 
1.30512e-02,-1.40e-03,-2.00e-01, 
1.30520e-02,-1.60e-03,-2.00e-01, 
1.30528e-02,-1.40e-03,-2.00e-01, 
1.30536e-02,-1.20e-03,-2.00e-01, 
1.30544e-02,-1.20e-03,-2.00e-01, 
1.30552e-02,-1.00e-03,-2.00e-01, 
1.30560e-02,-1.00e-03,-2.00e-01, 
1.30568e-02,-1.20e-03,-2.00e-01, 
1.30576e-02,-1.40e-03,-2.00e-01, 
1.30584e-02,-1.20e-03,-2.00e-01, 
1.30592e-02,-1.40e-03,-2.00e-01, 
