,CH1,CH2
Second,Volt,Volt
9.68112e-02,-1.60e-03,-2.00e-01, 
9.68120e-02,-1.60e-03,-2.00e-01, 
9.68128e-02,-1.60e-03,-2.00e-01, 
9.68136e-02,-1.60e-03,-2.00e-01, 
9.68144e-02,-1.60e-03,-2.00e-01, 
9.68152e-02,-1.20e-03,-2.00e-01, 
9.68160e-02,-1.20e-03,-2.00e-01, 
9.68168e-02,-1.20e-03,-2.00e-01, 
9.68176e-02,-1.20e-03,-2.00e-01, 
9.68184e-02,-1.20e-03,-2.00e-01, 
9.68192e-02,-1.20e-03,-2.00e-01, 
9.68200e-02,-1.20e-03,-2.00e-01, 
9.68208e-02,-1.20e-03,-2.00e-01, 
9.68216e-02,-1.20e-03,-2.00e-01, 
9.68224e-02,-1.60e-03,-2.00e-01, 
9.68232e-02,-1.60e-03,-2.00e-01, 
9.68240e-02,-1.60e-03,-2.00e-01, 
9.68248e-02,-1.60e-03,-2.00e-01, 
9.68256e-02,-1.60e-03,-2.00e-01, 
9.68264e-02,-1.60e-03,-2.00e-01, 
9.68272e-02,-1.60e-03,-2.00e-01, 
9.68280e-02,-2.00e-03,-2.00e-01, 
9.68288e-02,-2.00e-03,-2.00e-01, 
9.68296e-02,-2.00e-03,-2.00e-01, 
9.68304e-02,-2.00e-03,-2.00e-01, 
9.68312e-02,-2.00e-03,-2.00e-01, 
9.68320e-02,-2.00e-03,-2.00e-01, 
9.68328e-02,-2.00e-03,-2.00e-01, 
9.68336e-02,-2.00e-03,-2.00e-01, 
9.68344e-02,-2.00e-03,-2.00e-01, 
9.68352e-02,-1.60e-03,-2.00e-01, 
9.68360e-02,-1.60e-03,-2.00e-01, 
9.68368e-02,-1.60e-03,-2.00e-01, 
9.68376e-02,-2.00e-03,-2.00e-01, 
9.68384e-02,-1.60e-03,-2.00e-01, 
9.68392e-02,-2.00e-03,-2.00e-01, 
9.68400e-02,-2.00e-03,-2.00e-01, 
9.68408e-02,-1.60e-03,-2.00e-01, 
9.68416e-02,-1.60e-03,-2.00e-01, 
9.68424e-02,-1.60e-03,-2.00e-01, 
9.68432e-02,-1.60e-03,-2.00e-01, 
9.68440e-02,-1.60e-03,-2.00e-01, 
9.68448e-02,-1.20e-03,-2.00e-01, 
9.68456e-02,-1.60e-03,-2.00e-01, 
9.68464e-02,-1.60e-03,-2.00e-01, 
9.68472e-02,-1.60e-03,-2.00e-01, 
9.68480e-02,-1.60e-03,-2.00e-01, 
9.68488e-02,-1.60e-03,-2.00e-01, 
9.68496e-02,-1.60e-03,-2.00e-01, 
9.68504e-02,-1.60e-03,-2.00e-01, 
9.68512e-02,-1.60e-03,-2.00e-01, 
9.68520e-02,-1.60e-03,-2.00e-01, 
9.68528e-02,-1.60e-03,-2.00e-01, 
9.68536e-02,-1.60e-03,-2.00e-01, 
9.68544e-02,-1.60e-03,-2.00e-01, 
9.68552e-02,-1.60e-03,-2.00e-01, 
9.68560e-02,-1.60e-03,-2.00e-01, 
