,CH1,CH2
Second,Volt,Volt
4.95008e-01,-2.00e-04,-2.00e-01, 
4.95010e-01,-2.00e-04,-2.00e-01, 
4.95012e-01,-2.00e-04,-2.00e-01, 
4.95014e-01,-2.00e-04,-2.00e-01, 
4.95016e-01,-2.00e-04,-2.00e-01, 
4.95018e-01,-2.00e-04,-2.00e-01, 
4.95020e-01,0.00e+00,-2.00e-01, 
4.95022e-01,-2.00e-04,-2.00e-01, 
4.95024e-01,0.00e+00,-2.00e-01, 
4.95026e-01,0.00e+00,-2.00e-01, 
4.95028e-01,0.00e+00,-2.00e-01, 
4.95030e-01,0.00e+00,-2.00e-01, 
4.95032e-01,2.00e-04,-2.00e-01, 
4.95034e-01,0.00e+00,-2.00e-01, 
4.95036e-01,0.00e+00,-2.00e-01, 
4.95038e-01,2.00e-04,-2.00e-01, 
4.95040e-01,0.00e+00,-2.00e-01, 
4.95042e-01,0.00e+00,-2.00e-01, 
4.95044e-01,-2.00e-04,-2.00e-01, 
4.95046e-01,-2.00e-04,-2.00e-01, 
4.95048e-01,0.00e+00,-2.00e-01, 
4.95050e-01,-2.00e-04,-2.00e-01, 
4.95052e-01,-2.00e-04,-2.00e-01, 
4.95054e-01,-2.00e-04,-2.00e-01, 
4.95056e-01,-2.00e-04,-2.00e-01, 
4.95058e-01,-2.00e-04,-2.00e-01, 
4.95060e-01,-4.00e-04,-2.00e-01, 
4.95062e-01,-4.00e-04,-2.00e-01, 
4.95064e-01,-2.00e-04,-2.00e-01, 
4.95066e-01,-4.00e-04,-2.00e-01, 
4.95068e-01,-4.00e-04,-2.00e-01, 
4.95070e-01,-6.00e-04,-2.00e-01, 
4.95072e-01,-2.00e-04,-2.00e-01, 
4.95074e-01,-2.00e-04,-2.00e-01, 
4.95076e-01,-2.00e-04,-2.00e-01, 
4.95078e-01,-2.00e-04,-2.00e-01, 
4.95080e-01,-2.00e-04,-2.00e-01, 
4.95082e-01,-2.00e-04,-2.00e-01, 
4.95084e-01,-2.00e-04,-2.00e-01, 
4.95086e-01,0.00e+00,-2.00e-01, 
4.95088e-01,-2.00e-04,-2.00e-01, 
4.95090e-01,-2.00e-04,-2.00e-01, 
4.95092e-01,-2.00e-04,-2.00e-01, 
4.95094e-01,-2.00e-04,-2.00e-01, 
4.95096e-01,0.00e+00,-2.00e-01, 
4.95098e-01,-2.00e-04,-2.00e-01, 
4.95100e-01,0.00e+00,-2.00e-01, 
4.95102e-01,0.00e+00,-2.00e-01, 
4.95104e-01,2.00e-04,-2.00e-01, 
4.95106e-01,2.00e-04,-2.00e-01, 
4.95108e-01,2.00e-04,0.00e+00, 
4.95110e-01,0.00e+00,-2.00e-01, 
4.95112e-01,2.00e-04,-2.00e-01, 
4.95114e-01,2.00e-04,-2.00e-01, 
4.95116e-01,0.00e+00,-2.00e-01, 
4.95118e-01,2.00e-04,-2.00e-01, 
4.95120e-01,4.00e-04,-2.00e-01, 
4.95122e-01,2.00e-04,-2.00e-01, 
