,CH1,CH2
Second,Volt,Volt
-2.05600e+00,1.12e-03,3.28e-01, 
-2.05527e+00,1.12e-03,3.28e-01, 
-2.05454e+00,1.12e-03,3.28e-01, 
-2.05380e+00,1.12e-03,3.28e-01, 
-2.05307e+00,1.12e-03,3.28e-01, 
-2.05234e+00,1.04e-03,3.20e-01, 
-2.05161e+00,1.12e-03,3.20e-01, 
-2.05087e+00,8.80e-04,3.20e-01, 
-2.05014e+00,1.12e-03,3.20e-01, 
-2.04941e+00,1.36e-03,3.20e-01, 
-2.04868e+00,9.60e-04,3.20e-01, 
-2.04794e+00,8.80e-04,3.20e-01, 
-2.04721e+00,8.80e-04,3.20e-01, 
-2.04648e+00,1.04e-03,3.12e-01, 
-2.04575e+00,1.36e-03,3.20e-01, 
-2.04501e+00,1.12e-03,3.12e-01, 
-2.04428e+00,1.20e-03,3.12e-01, 
-2.04355e+00,1.12e-03,3.12e-01, 
-2.04282e+00,1.20e-03,3.12e-01, 
-2.04208e+00,1.36e-03,3.12e-01, 
-2.04135e+00,1.36e-03,3.12e-01, 
-2.04062e+00,1.28e-03,3.12e-01, 
-2.03989e+00,1.36e-03,3.12e-01, 
-2.03915e+00,1.68e-03,3.12e-01, 
-2.03842e+00,1.20e-03,3.12e-01, 
-2.03769e+00,1.12e-03,3.04e-01, 
-2.03696e+00,1.36e-03,3.12e-01, 
-2.03622e+00,1.44e-03,3.12e-01, 
-2.03549e+00,1.60e-03,3.12e-01, 
-2.03476e+00,1.28e-03,3.12e-01, 
-2.03403e+00,1.36e-03,3.04e-01, 
-2.03329e+00,1.68e-03,3.12e-01, 
-2.03256e+00,1.44e-03,3.04e-01, 
-2.03183e+00,1.68e-03,3.04e-01, 
-2.03110e+00,1.60e-03,3.04e-01, 
-2.03037e+00,1.36e-03,3.04e-01, 
-2.02963e+00,1.36e-03,3.04e-01, 
-2.02890e+00,1.44e-03,3.04e-01, 
-2.02817e+00,1.52e-03,2.96e-01, 
-2.02744e+00,1.44e-03,2.96e-01, 
-2.02670e+00,1.68e-03,3.04e-01, 
-2.02597e+00,1.44e-03,2.96e-01, 
-2.02524e+00,1.68e-03,2.96e-01, 
-2.02451e+00,1.60e-03,2.96e-01, 
-2.02377e+00,1.52e-03,2.88e-01, 
-2.02304e+00,1.60e-03,2.96e-01, 
-2.02231e+00,1.60e-03,2.88e-01, 
-2.02158e+00,1.36e-03,2.88e-01, 
-2.02084e+00,1.60e-03,2.88e-01, 
-2.02011e+00,1.92e-03,2.88e-01, 
-2.01938e+00,1.60e-03,2.96e-01, 
-2.01865e+00,1.36e-03,2.80e-01, 
-2.01791e+00,1.68e-03,2.88e-01, 
-2.01718e+00,1.76e-03,2.88e-01, 
-2.01645e+00,1.60e-03,2.88e-01, 
-2.01572e+00,1.36e-03,2.88e-01, 
-2.01498e+00,1.84e-03,2.88e-01, 
-2.01425e+00,1.44e-03,2.88e-01, 
-2.01352e+00,1.68e-03,2.80e-01, 
-2.01279e+00,1.52e-03,2.80e-01, 
-2.01205e+00,1.68e-03,2.80e-01, 
-2.01132e+00,1.52e-03,2.80e-01, 
-2.01059e+00,1.68e-03,2.80e-01, 
-2.00986e+00,1.28e-03,2.80e-01, 
-2.00912e+00,1.52e-03,2.80e-01, 
-2.00839e+00,1.76e-03,2.80e-01, 
-2.00766e+00,1.52e-03,2.80e-01, 
-2.00693e+00,1.68e-03,2.80e-01, 
-2.00620e+00,1.60e-03,2.80e-01, 
-2.00546e+00,1.68e-03,2.80e-01, 
-2.00473e+00,1.52e-03,2.80e-01, 
-2.00400e+00,1.52e-03,2.80e-01, 
-2.00327e+00,1.52e-03,2.80e-01, 
-2.00253e+00,1.44e-03,2.72e-01, 
-2.00180e+00,1.92e-03,2.80e-01, 
-2.00107e+00,1.60e-03,2.80e-01, 
-2.00034e+00,1.36e-03,2.72e-01, 
-1.99960e+00,1.60e-03,2.80e-01, 
-1.99887e+00,1.84e-03,2.80e-01, 
-1.99814e+00,1.36e-03,2.72e-01, 
-1.99741e+00,1.52e-03,2.72e-01, 
-1.99667e+00,1.84e-03,2.80e-01, 
-1.99594e+00,1.36e-03,2.72e-01, 
-1.99521e+00,1.28e-03,2.64e-01, 
-1.99448e+00,1.36e-03,2.72e-01, 
-1.99374e+00,1.60e-03,2.64e-01, 
-1.99301e+00,1.36e-03,2.72e-01, 
-1.99228e+00,1.52e-03,2.72e-01, 
-1.99155e+00,1.44e-03,2.64e-01, 
-1.99081e+00,1.60e-03,2.72e-01, 
-1.99008e+00,1.44e-03,2.64e-01, 
-1.98935e+00,1.28e-03,2.56e-01, 
-1.98862e+00,1.36e-03,2.56e-01, 
-1.98788e+00,1.36e-03,2.64e-01, 
-1.98715e+00,1.36e-03,2.64e-01, 
-1.98642e+00,1.36e-03,2.64e-01, 
-1.98569e+00,1.36e-03,2.64e-01, 
-1.98496e+00,1.36e-03,2.64e-01, 
-1.98422e+00,1.12e-03,2.56e-01, 
-1.98349e+00,1.28e-03,2.56e-01, 
-1.98276e+00,1.36e-03,2.56e-01, 
-1.98203e+00,1.36e-03,2.56e-01, 
-1.98129e+00,1.36e-03,2.56e-01, 
-1.98056e+00,1.44e-03,2.64e-01, 
-1.97983e+00,1.28e-03,2.56e-01, 
-1.97910e+00,1.36e-03,2.56e-01, 
-1.97836e+00,1.36e-03,2.56e-01, 
-1.97763e+00,1.36e-03,2.56e-01, 
-1.97690e+00,1.60e-03,2.56e-01, 
-1.97617e+00,1.76e-03,2.56e-01, 
-1.97543e+00,1.68e-03,2.56e-01, 
-1.97470e+00,1.68e-03,2.56e-01, 
-1.97397e+00,1.68e-03,2.56e-01, 
-1.97324e+00,1.36e-03,2.56e-01, 
-1.97250e+00,1.36e-03,2.48e-01, 
-1.97177e+00,1.20e-03,2.48e-01, 
-1.97104e+00,1.36e-03,2.56e-01, 
-1.97031e+00,1.60e-03,2.48e-01, 
-1.96957e+00,1.52e-03,2.56e-01, 
-1.96884e+00,1.36e-03,2.56e-01, 
-1.96811e+00,1.28e-03,2.48e-01, 
-1.96738e+00,1.36e-03,2.48e-01, 
-1.96664e+00,1.52e-03,2.56e-01, 
-1.96591e+00,1.44e-03,2.48e-01, 
-1.96518e+00,1.36e-03,2.48e-01, 
-1.96445e+00,1.60e-03,2.56e-01, 
-1.96371e+00,1.20e-03,2.48e-01, 
-1.96298e+00,1.36e-03,2.40e-01, 
-1.96225e+00,1.60e-03,2.40e-01, 
-1.96152e+00,1.28e-03,2.40e-01, 
-1.96079e+00,1.28e-03,2.32e-01, 
-1.96005e+00,1.36e-03,2.40e-01, 
-1.95932e+00,1.20e-03,2.40e-01, 
-1.95859e+00,1.20e-03,2.32e-01, 
-1.95786e+00,1.28e-03,2.40e-01, 
-1.95712e+00,1.28e-03,2.40e-01, 
-1.95639e+00,1.36e-03,2.40e-01, 
-1.95566e+00,1.20e-03,2.32e-01, 
-1.95493e+00,1.36e-03,2.32e-01, 
-1.95419e+00,1.12e-03,2.32e-01, 
-1.95346e+00,1.60e-03,2.32e-01, 
-1.95273e+00,1.36e-03,2.40e-01, 
-1.95200e+00,1.28e-03,2.32e-01, 
-1.95126e+00,1.28e-03,2.32e-01, 
-1.95053e+00,1.36e-03,2.32e-01, 
-1.94980e+00,1.36e-03,2.32e-01, 
-1.94907e+00,1.60e-03,2.32e-01, 
-1.94833e+00,1.12e-03,2.32e-01, 
-1.94760e+00,1.12e-03,2.24e-01, 
-1.94687e+00,1.20e-03,2.24e-01, 
-1.94614e+00,1.28e-03,2.24e-01, 
-1.94540e+00,1.12e-03,2.24e-01, 
-1.94467e+00,1.12e-03,2.24e-01, 
-1.94394e+00,1.20e-03,2.24e-01, 
-1.94321e+00,1.12e-03,2.24e-01, 
-1.94247e+00,8.80e-04,2.24e-01, 
-1.94174e+00,1.28e-03,2.24e-01, 
-1.94101e+00,1.12e-03,2.24e-01, 
-1.94028e+00,1.20e-03,2.24e-01, 
-1.93954e+00,1.12e-03,2.24e-01, 
-1.93881e+00,1.20e-03,2.24e-01, 
-1.93808e+00,8.80e-04,2.24e-01, 
-1.93735e+00,1.12e-03,2.16e-01, 
-1.93662e+00,1.04e-03,2.24e-01, 
-1.93588e+00,1.12e-03,2.24e-01, 
-1.93515e+00,9.60e-04,2.24e-01, 
-1.93442e+00,1.12e-03,2.16e-01, 
-1.93369e+00,1.12e-03,2.16e-01, 
-1.93295e+00,9.60e-04,2.16e-01, 
-1.93222e+00,1.04e-03,2.16e-01, 
-1.93149e+00,1.28e-03,2.16e-01, 
-1.93076e+00,1.04e-03,2.16e-01, 
-1.93002e+00,9.60e-04,2.08e-01, 
-1.92929e+00,1.04e-03,2.16e-01, 
-1.92856e+00,9.60e-04,2.08e-01, 
-1.92783e+00,1.28e-03,2.16e-01, 
-1.92709e+00,1.04e-03,2.08e-01, 
-1.92636e+00,9.60e-04,2.08e-01, 
-1.92563e+00,1.36e-03,2.08e-01, 
-1.92490e+00,1.04e-03,2.16e-01, 
-1.92416e+00,8.00e-04,2.08e-01, 
-1.92343e+00,1.12e-03,2.08e-01, 
-1.92270e+00,1.04e-03,2.08e-01, 
-1.92197e+00,1.12e-03,2.08e-01, 
-1.92123e+00,9.60e-04,2.08e-01, 
-1.92050e+00,1.04e-03,2.00e-01, 
-1.91977e+00,9.60e-04,2.00e-01, 
-1.91904e+00,8.00e-04,2.00e-01, 
-1.91830e+00,1.28e-03,2.08e-01, 
-1.91757e+00,8.00e-04,2.00e-01, 
-1.91684e+00,8.80e-04,2.00e-01, 
-1.91611e+00,9.60e-04,2.00e-01, 
-1.91537e+00,9.60e-04,2.00e-01, 
-1.91464e+00,9.60e-04,2.00e-01, 
-1.91391e+00,9.60e-04,2.00e-01, 
-1.91318e+00,1.12e-03,2.00e-01, 
-1.91245e+00,8.80e-04,2.00e-01, 
-1.91171e+00,7.20e-04,1.92e-01, 
-1.91098e+00,9.60e-04,1.92e-01, 
-1.91025e+00,1.12e-03,1.92e-01, 
-1.90952e+00,8.80e-04,1.92e-01, 
-1.90878e+00,9.60e-04,1.92e-01, 
-1.90805e+00,9.60e-04,1.92e-01, 
-1.90732e+00,1.04e-03,1.92e-01, 
-1.90659e+00,7.20e-04,1.92e-01, 
-1.90585e+00,8.00e-04,1.92e-01, 
-1.90512e+00,8.00e-04,1.92e-01, 
-1.90439e+00,8.80e-04,1.92e-01, 
-1.90366e+00,8.00e-04,1.92e-01, 
-1.90292e+00,8.80e-04,1.92e-01, 
-1.90219e+00,8.00e-04,1.92e-01, 
-1.90146e+00,8.00e-04,1.92e-01, 
-1.90073e+00,9.60e-04,1.92e-01, 
-1.89999e+00,9.60e-04,1.84e-01, 
-1.89926e+00,8.00e-04,1.84e-01, 
-1.89853e+00,8.00e-04,1.92e-01, 
-1.89780e+00,8.80e-04,1.84e-01, 
-1.89706e+00,9.60e-04,1.84e-01, 
